32.50656	34.89737	Caesarea Maritima
34.25331	35.66041	Botrus (Batroun)	
34.6354	5.52276	Gemellae (M'lili)	
35.058	24.9584	Gortyn (Gortyn)	
35.826	10.64	Hadrumentum (Sousse)	
36.13395	10.37744	Upenna (Enfida)	
36.186	8.7	Sicca Veneria (El Kef)	
36.4	10.61666	Pupput (Hammamet)	
36.50468	9.08155	Thignica (Ain Tounga)	
36.82948	9.84108	Thurburbo Minus (Thebourba)	
37.50733	15.08535	Catăna (Catania)	
39.59352	8.48168	Frusinum (Frosinone)	
40.85184	14.25563	Neapolis (Naples)	
40.91667	14.78333	Abellinum (Avellino)	
40.91707	14.02956	Liternum	
41.22205	16.05598	Canusium (Canosa di Puglia)	
41.26667	13.61667	Formiae (Formia)	
41.45	12.61667	Antium (Anzio)	
41.5	13.7	Aquinum (Aquino)	
41.68333	12.7	Lanuvium (Lanuvio)	
42.11127	14.70782	Histonium (Vasto)	
42.6978	23.33003	Serdica (Sofia)	
42.77863	12.41328	Tutere (Todi)	
42.85567	13.57077	Asculum (Ascoli Piceno)	
43.1836	3.0042	Narbo Martius (Narbonne)	
43.22222	27.56944	Marcianopolis (Devnya)	
43.87656	5.39743	Apta Julia (Apt)	
44.20493	0.61325	Aginnum (Agen)	
44.4455	1.4408	Cassinomagus (Chassenon)	
44.71666	21.16666	Viminacium (Stari Kostolac)	
45.5492	12.4001	Altinum (Altino)	
45.74076	7.32341	Augusta Praetoria Salassorum (Aosta)	
45.8	11.91667	Acelum (Asolo)	
45.83044	1.25174	Augustoritum (Limoges)	
46.76674	15.56741	Flavia Solva (Leibnitz)	
47.0845	2.39087	Avaricum (Bourges)	
47.50046	9.74787	Brigantium (Bregenz) - civil	
48.20003	3.29299	Agedincum (Sens)	
49.11963	6.17219	Divodurum (Metz)	
49.53402	2.17433	Samarobriva (Amiens)	
50.83544	-0.77249	Noviomagus Reginorum (Chichester)	
51.61238	-2.7664	Venta Silurum (Caerwent)	
51.67083	-1.36222	Frilford	
51.86128	6.04574	Ulpia Noviomagus Batavorum (Nijmegen)	
51.88333	0.9	Camulodunum (Colchester)	
52.57997	1.28826	Venta Icenorum (Caistor St Edmund)	
52.66666	-2.65	Virocorium Cornoviorum (Wroxeter)	
52.93191	-3.92346	(Tomen-y-Mur)	
55.6026	-2.6775	Trimontium (Newstead)	
