32.50656	34.89737	Caesarea Maritima
34.25331	35.66041	Botrus (Batroun)	http://localhost:8000/?l=34.253315,35.660419&z=18&satellite
34.6354	5.52276	Gemellae (M'lili)	http://localhost:8000/?l=34.635409,5.522764&z=18&satellite
35.058	24.9584	Gortyn (Gortyn)	http://localhost:8000/?l=35.058004,24.958405&z=18&satellite
35.826	10.64	Hadrumentum (Sousse)	http://localhost:8000/?l=35.826,10.64&z=18&satellite
36.13395	10.37744	Upenna (Enfida)	http://localhost:8000/?l=36.133958,10.377445&z=18&satellite
36.186	8.7	Sicca Veneria (El Kef)	http://localhost:8000/?l=36.186,8.7&z=18&satellite
36.4	10.61666	Pupput (Hammamet)	http://localhost:8000/?l=36.4,10.616667&z=18&satellite
36.50468	9.08155	Thignica (Ain Tounga)	http://localhost:8000/?l=36.50468,9.081555&z=18&satellite
36.82948	9.84108	Thurburbo Minus (Thebourba)	http://localhost:8000/?l=36.829485,9.841089&z=18&satellite
37.50733	15.08535	Catăna (Catania)	http://localhost:8000/?l=37.507335,15.085354&z=18&satellite
39.59352	8.48168	Frusinum (Frosinone)	http://localhost:8000/?l=39.593526,8.481682&z=18&satellite
40.85184	14.25563	Neapolis (Naples)	http://localhost:8000/?l=40.851843,14.255639&z=18&satellite
40.91667	14.78333	Abellinum (Avellino)	http://localhost:8000/?l=40.91667,14.78333&z=18&satellite
40.91707	14.02956	Liternum	http://localhost:8000/?l=40.9170733,14.02956627&z=18&satellite
41.22205	16.05598	Canusium (Canosa di Puglia)	http://localhost:8000/?l=41.222051,16.055983&z=18&satellite
41.26667	13.61667	Formiae (Formia)	http://localhost:8000/?l=41.26667,13.61667&z=18&satellite
41.45	12.61667	Antium (Anzio)	http://localhost:8000/?l=41.45,12.61667&z=18&satellite
41.5	13.7	Aquinum (Aquino)	http://localhost:8000/?l=41.5,13.7&z=18&satellite
41.68333	12.7	Lanuvium (Lanuvio)	http://localhost:8000/?l=41.68333,12.7&z=18&satellite
42.11127	14.70782	Histonium (Vasto)	http://localhost:8000/?l=42.111279,14.707821&z=18&satellite
42.6978	23.33003	Serdica (Sofia)	http://localhost:8000/?l=42.697803,23.330031&z=18&satellite
42.77863	12.41328	Tutere (Todi)	http://localhost:8000/?l=42.778637,12.413282&z=18&satellite
42.85567	13.57077	Asculum (Ascoli Piceno)	http://localhost:8000/?l=42.855678,13.570776&z=18&satellite
43.1836	3.0042	Narbo Martius (Narbonne)	http://localhost:8000/?l=43.1836,3.0042&z=18&satellite
43.22222	27.56944	Marcianopolis (Devnya)	http://localhost:8000/?l=43.222222,27.569444&z=18&satellite
43.87656	5.39743	Apta Julia (Apt)	http://localhost:8000/?l=43.876569,5.397437&z=18&satellite
44.20493	0.61325	Aginnum (Agen)	http://localhost:8000/?l=44.204938,0.613258&z=18&satellite
44.4455	1.4408	Cassinomagus (Chassenon)	http://localhost:8000/?l=44.4455,1.4408&z=18&satellite
44.71666	21.16666	Viminacium (Stari Kostolac)	http://localhost:8000/?l=44.71666667,21.16666667&z=18&satellite
45.5492	12.4001	Altinum (Altino)	http://localhost:8000/?l=45.5492,12.4001&z=18&satellite
45.74076	7.32341	Augusta Praetoria Salassorum (Aosta)	http://localhost:8000/?l=45.740766,7.323419&z=18&satellite
45.8	11.91667	Acelum (Asolo)	http://localhost:8000/?l=45.8,11.91667&z=18&satellite
45.83044	1.25174	Augustoritum (Limoges)	http://localhost:8000/?l=45.830446,1.251743&z=18&satellite
46.76674	15.56741	Flavia Solva (Leibnitz)	http://localhost:8000/?l=46.766744,15.567417&z=18&satellite
47.0845	2.39087	Avaricum (Bourges)	http://localhost:8000/?l=47.0845,2.39087&z=18&satellite
47.50046	9.74787	Brigantium (Bregenz) - civil	http://localhost:8000/?l=47.500461,9.747879&z=18&satellite
48.20003	3.29299	Agedincum (Sens)	http://localhost:8000/?l=48.200036,3.292997&z=18&satellite
49.11963	6.17219	Divodurum (Metz)	http://localhost:8000/?l=49.119631,6.172198&z=18&satellite
49.53402	2.17433	Samarobriva (Amiens)	http://localhost:8000/?l=49.53402,2.174333&z=18&satellite
50.83544	-0.77249	Noviomagus Reginorum (Chichester)	http://localhost:8000/?l=50.835448,-0.772496&z=18&satellite
51.61238	-2.7664	Venta Silurum (Caerwent)	http://localhost:8000/?l=51.612381,-2.766406&z=18&satellite
51.67083	-1.36222	Frilford	http://localhost:8000/?l=51.670833,-1.362222&z=18&satellite
51.86128	6.04574	Ulpia Noviomagus Batavorum (Nijmegen)	http://localhost:8000/?l=51.861286,6.045742&z=18&satellite
51.88333	0.9	Camulodunum (Colchester)	http://localhost:8000/?l=51.883333,0.9&z=18&satellite
52.57997	1.28826	Venta Icenorum (Caistor St Edmund)	http://localhost:8000/?l=52.579979,1.288262&z=18&satellite
52.66666	-2.65	Virocorium Cornoviorum (Wroxeter)	http://localhost:8000/?l=52.666667,-2.65&z=18&satellite
52.93191	-3.92346	(Tomen-y-Mur)	http://localhost:8000/?l=52.931914,-3.923463&z=18&satellite
55.6026	-2.6775	Trimontium (Newstead)	http://localhost:8000/?l=55.6026,-2.6775&z=18&satellite
