51.26361	-2.14692	Bratton White Horse
51.26361	-2.14694	Westbury White Horse	http://www.wikidata.org/entity/Q523097
53.40275	13.72077	forest swastika	http://www.wikidata.org/entity/Q615792
50.8137	-2.47474	Cerne Abbas Giant	http://www.wikidata.org/entity/Q1055469
51.5777	-1.56675	Uffington White Horse	http://www.wikidata.org/entity/Q1056493
51.4253	-1.9299	Cherhill White Horse	http://www.wikidata.org/entity/Q1070223
-19.94888	-69.63305	Atacama Giant	http://www.wikidata.org/entity/Q1156421
-29.53	137.465	Marree Man	http://www.wikidata.org/entity/Q1510978
50.8101	0.18802	Long Man of Wilmington	http://www.wikidata.org/entity/Q1869405
32.90861	35.80111	Rujm el-Hiri	http://www.wikidata.org/entity/Q1914227
33.80027	-114.53833	Blythe Intaglios	http://www.wikidata.org/entity/Q2460316
-13.79434	-76.30857	Paracas Candelabra	http://www.wikidata.org/entity/Q2574847
-14.71666	-75.13333	Nazca Lines	http://www.wikidata.org/entity/Q2620036
54.22478	-1.21273	Kilburn White Horse	http://www.wikidata.org/entity/Q2962912
-18.26888	-68.705	Sajama Lines	http://www.wikidata.org/entity/Q3832880
51.0203	-114.171	Battalion Park	http://www.wikidata.org/entity/Q4245109
40.7794	-111.84	Block U	http://www.wikidata.org/entity/Q4927176
51.5033	-1.85915	Broad Town White Horse	http://www.wikidata.org/entity/Q4971984
51.1941	-1.71506	Bulford Kiwi	http://www.wikidata.org/entity/Q4996137
51.3763	-1.97845	Devizes White Horse	http://www.wikidata.org/entity/Q5267590
51.1012	1.13971	Folkestone White Horse	http://www.wikidata.org/entity/Q5464533
-20.61917	-69.67366	Geoglifos de Pintados	http://www.wikidata.org/entity/Q5839946
51.4128	-1.7376	Marlborough White Horse	http://www.wikidata.org/entity/Q6771689
55.08838	-1.62808	Northumberlandia	http://www.wikidata.org/entity/Q7059835
50.6574	-2.40438	Osmington White Horse	http://www.wikidata.org/entity/Q7107164
42.7637	-90.4067	Platte Mound M	http://www.wikidata.org/entity/Q7202491
54.9425	59.1922	Russian geoglyph	http://www.wikidata.org/entity/Q7382210
37.8746	-122.2496	"The Big ""C"""	http://www.wikidata.org/entity/Q7717476
-6.79595	-79.30033	Oyotún Eagle	http://www.wikidata.org/entity/Q16571183
51.7286	-0.8116	Whiteleaf Cross	http://www.wikidata.org/entity/Q16903198
37.66142	-122.41895	South San Francisco Hillside Sign	http://www.wikidata.org/entity/Q17061895
51.702	-0.88805	Bledlow Cross	http://www.wikidata.org/entity/Q17641764
44.05776	-123.09271	"Big ""O"""	http://www.wikidata.org/entity/Q18748939
51.32122	-1.75652	Pewsey White Horse	http://www.wikidata.org/entity/Q20712648
-22.24852	-69.17848	Geoglyphs of Chug-Chug	http://www.wikidata.org/entity/Q21592102
51.4724	-1.8175	Hackpen White Horse	http://www.wikidata.org/entity/Q24181322
-17.19271	-70.88619	Chen Chen geoglyph	http://www.wikidata.org/entity/Q27869450
51.3726	-1.8479	Alton Barnes White Horse	http://www.wikidata.org/entity/Q29876895
51.02128	-114.17397	Battalion Numbers	http://www.wikidata.org/entity/Q33212373
