57.30973	-4.43891	Nessie, Loch Ness
54.31314	-2.95276	Bownessie	https://www.lakelovers.co.uk/blog/windermeres-bownessie/
44.53	-73.33	Champ, Lake Champlain
56.826	31.942	Brosno Dragon	https://en.wikipedia.org/wiki/Brosno_dragon
49.48805	-55.81083	Cressie	https://en.wikipedia.org/wiki/Cressie
5.54	-72.92	Monster of Lake Tota	https://en.wikipedia.org/wiki/Monster_of_Lake_Tota
47.90166	-114.10416	Flathead Lake Monster	https://en.wikipedia.org/wiki/Flathead_Lake_Monster
53.56666	-108.65	Turtle Lake Monster	https://en.wikipedia.org/wiki/Turtle_Lake_Monster
41.16666	-112.53333	North Shore Monster	https://en.wikipedia.org/wiki/North_Shore_Monster
45.16972	-66.79444	Lake Utopia Lake Monster
59.45	8.73333	Selma	https://en.wikipedia.org/wiki/Selma_(lake_monster)
63.21666	14.31666	Storsjöodjuret	https://en.wikipedia.org/wiki/Storsj%C3%B6odjuret
61.8	16.28333	Gryttie
35.48333	-80.93333	Normie
47.48805	-69.26805	Ponik
