latitude	longitude	hospitalLabel
48.3688173	-3.7484156	Balanced rock
39.1077592	-108.7339883	Balanced Rock
44.362897	-66.224319	Balancing Rock
-17.885685	31.12541	Domboremari
52.834795	93.353449	Hanging Stone
61.49333333	28.42944444	Kummakivi
37.173638	-109.84872	Mexican Hat Rock
-37.30944444	-59.16666667	Piedra Movediza
38.6277589	-109.6028961	Queen Nefertiti Rock
38.6285922	-109.6020628	Sausage Rock
24.1935	120.733777777	Wind Moving Rock (Dakeng)
24.790416666	121.375194444	Wind Moving Rock (Xiaowulai)
