item,location,label
http://www.wikidata.org/entity/Q15108149,Point(-9.518077 51.832615),Bullaun Stone
http://www.wikidata.org/entity/Q15108150,Point(-8.98444444 53.26361111),Bullaun Stone
http://www.wikidata.org/entity/Q15111156,Point(-7.82325 53.26263889),Gallen Bullaun
http://www.wikidata.org/entity/Q15790221,Point(-6.684802 53.289256),Bullaun Stone
http://www.wikidata.org/entity/Q15790222,Point(-7.908909 54.290695),Bullaun Stone
http://www.wikidata.org/entity/Q30136877,Point(-6.706667 52.754722),Ardattin Stone
http://www.wikidata.org/entity/Q30136892,Point(-6.571389 52.8275),Clonmore Bullaun Stone
http://www.wikidata.org/entity/Q30145020,Point(-7.908889 54.290556),St Brigids Stone
http://www.wikidata.org/entity/Q33123123,Point(-6.170495 53.529632),Bullaun Stone
http://www.wikidata.org/entity/Q34334472,Point(-7.690741909 55.19910969),Bullaun stone
http://www.wikidata.org/entity/Q34337113,Point(-7.479753341 54.8326314),Bullaun stone (present location)
