latitude	longitude	hospitalLabel
57.890014	-4.2427109	Achaidh Cairn
57.984388	-4.4183618	Achany,chambered cairn
58.464362	-4.197111	Achargary, chambered cairn and ring cairns 
58.500451	-4.2060254	Achcoillenaborgie, cairns 
58.356401	-3.3882022	Achkinloch, chambered cairn 
56.47407	-5.3630104	Achnacreebeag,chambered cairn 
55.977987	-4.9475595	Adam's Cave, chambered cairn, Ardnadam
54.06108	-6.35795	Aghnaskeagh Cairns
58.028492	-4.8575623	Allt Eileag, chambered cairn 
58.183153	-5.0048949	Allt Sgiathaig, chambered cairn, 
58.262759	-6.3461544	Allt an-t-Sniomh,chambered cairn 
58.054422	-4.9413965	Altnacealgach Inn, chambered cairn 
60.258578	-1.437676	Ara Clett,chambered cairn,Turdale Water
56.264824	-5.2418712	Ardchonnel,long cairn 
55.488279	-5.5389263	Ardnacross, chambered cairn 
57.856592	-4.2221912	Ardvannie, chambered cairn 
56.340578	-5.1991105	Auchachenna, chambered cairn 
57.429802	-4.4606497	Auchvaich,chambered cairn 
54.944613	-4.9127641	Auld Wife's Grave, chambered cairn, Cairnscarrow
58.37305	-5.0476877	Badnabay,chambered cairn WNW of Laxford Bridge
55.124669	-4.7242981	Ballmalloch,chambered cairn
55.641432	-6.1480732	Ballynaughton More,chambered cairn 
57.647684	-4.4588272	Balnacrae, chambered cairn 
57.561827	-4.2944973	Balnaguie chambered cairn
57.541657	-4.4385933	Balvaird Wood,chambered cairn 
57.53386	-4.4412467	Balvaird,chambered cairn 
58.73480556	-2.93791667	Banks tomb
58.734809	-2.9378634	Banks, chambered cairn 
58.404911	-3.0938198	Barns of Hempriggs, chambered cairn 
56.103556	-5.4624982	Baroile,chambered cairn 
57.209138	-7.3767831	Barp,chambered cairn 
57.405756	-6.499806	Barpannan,two chambered cairns,Vatten Duirinish
57.64735	-4.45964	Bealachnancorr chambered cairn
60.227202	-1.384147	Bekka Hill chambered cairn
57.440218	-4.4738812	Belladrum Home Farm,chambered cairn
57.445001	-4.477421	Belladrum, chambered cairns 
57.573459	-4.2678514	Belmaduthy,chambered cairn 
55.215703	-4.6143905	Bencallen Hill,chambered cairn
55.215691	-4.614258	Bencallen Hill,chambered cairn
60.550922	-1.3448235	Beorgs of Housetter, chambered cairn 
60.591338	-1.4030424	Beorgs of Uyea,stone 
59.175502	-2.9845661	Bigland, round chambered tomb, 
58.474644	-3.2540247	Bilbster, chambered cairn 
59.131263	-3.025249	Blackhammer Chambered Cairn
57.731858	-4.3839062	Boath, three chambered cairns
59.008212	-3.2439064	Bookan Cairn
54.990026	-4.4934126	Boreland,chambered cairn
57.562203	-4.5012979	Brahan Wood, chambered cairn 
58.272815	-3.4388746	Bridge of Badnagie,chambered cairn 
57.243754	-5.9106276	Broadford Bay, chambered cairn 
53.19736099	-4.21861124	Bryn yr Hen Bobl
58.280748	-3.4507416	Buolacrabher,chambered cairn 
58.278801	-3.4457338	Buolacrabher,chambered cairn 
59.13216	-3.1405669	Burgar,chambered cairn NNW of
58.35068	-3.180529	Cairn Hanach,chambered cairn 
54.859113	-4.310055	Cairn Holy, chambered cairn 
57.538014	-4.3961093	Cairn Irenan, chambered cairn
55.038159	-4.856409	Cairn Kenny
55.038266	-4.8580877	Cairn Kenny, chambered cairn
58.268918	-3.4671864	Cairn Liath,long cairn and round cairn
58.381619	-3.1799553	Cairn Reain, chambered cairn
58.353212039	-3.174735407	Cairn of Get
58.523145	-3.3011712	Cairn of Heathercow, long cairn, Brabster Moss
55.085236	-4.6400924	Cairnderry, chambered cairn
58.36184	-3.1887981	Cairns of Warehouse, cairns at N end of Warehouse Hill
58.249955	-6.1891068	Caisteal Mhic Creacail,chambered cairn,Fleisirin
56.004411	-4.6135494	Cameron Home Farm,chambered cairn 
58.553327	-4.7696439	Cape Wrath Hotel,chambered cairn 
55.493171	-5.315576	Carmahome
56.47338	-5.3742059	Carn Ban, chambered cairn, Moss of Achnacree
57.536313	-4.3762654	Carn Glas
57.415041	-4.2500188	Carn Glas, chambered cairns 
57.632593	-6.4051587	Carn Liath, chambered cairn and deserted settlement, Kilmuir
57.967572	-4.1336155	Carn Liath,cairn & chambered cairn 
57.666792	-4.3663024	Carn Liath,chambered cairn
57.479138	-6.3054428	Carn Liath,chambered cairn 
58.26278	-3.9876834	Carn Richard,chambered cairn 
57.719534	-4.2577248	Carn na Croiche,chambered cairn
57.741524	-4.3275482	Carn na Feinne,chambered cairn
58.206949	-6.8631188	Carnan Beag, chambered cairn 
56.635777	-5.8424554	Carnliath, chambered cairn 
58.150603	-4.9564048	Carrachan Dubh,cairn,N bank of River Traligill 
55.620284	-5.5054609	Carragh an Talaidh,chambered cairn,Brackley
58.511739	-3.5941223	Carriside,chambered cairn 
59.0324	-2.8102	Castle Bloody
54.941814	-4.8141165	Caves of Kilhern
52.879198	-4.6320258	Cefnamwlch Burial Chamber
52.189038	-3.92613	Cerrig Clochesti, Chambered Cairn
58.73647	-3.06547	Chambered Cairn on the Tarf
56.182569	-5.5363257	Clach an t'Sagairt,chambered cairn,Ardfern
57.573588	-4.5292589	Clachan Corrach, chambered cairn 
56.685375	-5.9845121	Cladh Chiarain,chambered cairn 
58.221489	-3.4765499	Clais-Cairn,chambered cairn 
55.003769	-4.9670091	Claywarnies, cairn
58.179654	-3.5464916	Cnoc Bad Asgaraidh, chambered cairn 
58.139828	-4.9733883	Cnoc Bad na Cleithe, chambered cairn,  
58.032199	-4.8824747	Cnoc Chaornaidh, chambered cairn 
58.030197	-4.877587	Cnoc Chaornaidh, chambered cairn 
58.036765	-4.8545122	Cnoc Chaornaidh, chambered cairn, cairn and long mound
58.028057	-4.874874	Cnoc Chaornaidh,chambered cairn 
58.219759	-6.7524906	Cnoc a' Phrionnsa,chambered cairn
58.336462	-5.1332771	Cnoc an Daimh,chambered cairn 
58.585949	-3.7272554	Cnoc-na-h'Uiseig, chambered cairn
58.49611111	-4.28166667	Coillenaborgie
57.861141	-6.9805176	Coire na Feinne,chambered cairn
57.33444444	-4.68783333	Corrimony cairn
58.972577	-2.975777	Crantit
57.543398	-7.295286	Craonaval,chambered cairn 
60.210752	-1.4830609	Craw Knowe,chambered cairn
57.874202	-4.2714406	Creich Mains, chambered cairn 
58.027307	-4.9831448	Cromalt, chambered cairn 
58.026352	-4.964821	Cromalt, chambered cairn 
60.464707	-1.242475	Crooksetter Hill,chambered cairn
59.135022	-2.9815163	Cubbie Roo's Burden, chambered cairn, Rousay
60.388913	-1.3945039	Culsetter,chambered cairn 
58.9975	-3.10833333	Cuween Hill Chambered Cairn
57.509853	-4.0382705	Dalcross Castle,chambered cairn and stone circle 
56.384923	-5.4357818	Dalineun, chambered cairn 
58.531389	-4.465833	Dalvraid
57.879872	-4.0729629	Davochfin,chambered cairn 
55.01117	-4.490674	Drannandow chambered cairn
55.011191	-4.4905345	Drannandow chambered cairn
57.449334	-4.192722	Druid Temple Farm, chambered cairn and stone circle 
57.905711	-4.3475789	Drumliah,chambered cairn,hut circles & clearance cairns,Tulloch
57.540205	-4.423925	Drumrunie,chambered cairn 
56.98805556	-7.48166667	Dun Bharpa,chambered cairn 
56.98805	-7.4816424	Dun Bharpa,chambered cairn 
55.552127	-5.1278753	Dunan Mor, chambered cairn, Lamlash
58.258358	-6.3475768	Dunan,chambered cairn SE of Allt an Sniomh
56.11463	-5.48717	Dunchraigaig Cairn
58.216694	-6.2177122	Dursainean,chambered cairn,Garrabost
58.609295	-3.2703076	Earl's Cairn,chambered cairn
58.563786	-3.3199892	Earney Hillock, chambered cairn 
57.751948	-4.2984697	Easter Baldoon,chambered cairn 
57.635327	-4.243497	Easter Brae,long cairn & cairn
59.185485	-2.7711732	Eday Church Hall, chambered cairn 
56.367325	-4.3086904	Edinchip,chambered cairn 
57.882206	-4.0867931	Evelix Bridge chambered cairn
58.469708	-3.4352723	Fairy Hillock,chambered cairn
59.22569	-2.8295838	Faray chambered cairn
60.313738	-1.1107985	Felshun,chambered cairn 
59.283343	-2.9963666	Fitty Hill, chambered cairn 
53.2362	-1.81602	Five Wells
55.167054	-3.7999969	Fleuchlarg
58.296538	-3.3575701	Forse House, settlement, field system, burnt mounds and cairns
59.0019363	-3.2268957	Fresh Knowe
60.680972	-0.95496643	Gallow Hill, chambered cairn 
60.240909	-1.535591	Gallow Hill,cairns
58.53441	-3.456604	Gallow Hill,long cairns and chambered cairn
57.628252	-6.1968547	Garafad,chambered cairn 
56.055061	-5.550937	Gartnagreanoch, chambered cairn, Knapdale
60.485708	-1.4717251	Gateside,chambered cairn 
57.650387	-7.4195922	Geirisclett, chambered cairn 
58.054315	-5.0090303	Glacbain, chambered cairn 
55.770352	-5.4053389	Glenreasdell Mains, chambered cairn 
55.483331	-5.5705775	Gort na h-Ulaidhe, long cairn 
57.907679	-3.9967377	Grannie's Heilan Hame, chambered cairn 
60.43625	-1.2659928	Graven,chambered cairn 
56.699141	-6.1236161	Greadal Fhinn,chambered cairn
58.3793	-3.2662	Grey Cairns of Camster
58.380033612	-3.266961561	Grey Cairns of Camster
59.141647	-2.5742101	Grice Ness,cairn 
58.312896	-4.334597	Grumbeg,depopulated township
60.246836	-1.5596209	Hansie's Crooie,chambered cairn
60.301569	-1.3437578	Hayfield,chambered cairn 
59.008365	-2.9010914	Head of Work,long cairn
57.619178	-4.4888025	Heights of Brae, chambered cairn 
59.021988	-2.8999325	Helliar Holm,chambered cairn
60.194883	-1.4751949	Hestinsetter Hill,chambered cairn
54.836534	-4.7182371	High Gillespie,long cairn 
60.73857	-0.8867786	Hill of Caldback, chambered cairn, Unst
60.411274	-1.2521225	Hill of Dale,chambered cairn
60.318032	-1.6996418	Hill of Fielie,chambered cairn
58.558455	-3.7001176	Hill of Shebster,chambered cairn
60.169799	-1.4669449	Hoddans,chambered cairn 
59.165536	-2.6519677	Holm of Huip,cairn
59.350065	-2.864815	Holm of Papa Westray South, chambered cairn
59.353888	-2.8732658	Holm of Papa,chambered cairn
59.074975	-3.3109037	Holy Kirk
59.275348	-2.994238	Howa Tower,chambered cairn
59.224048	-2.7679262	Huntersquoy, chambered cairn 
57.929294	-4.4006177	Invershin Station,chambered cairn 
58.744982	-2.9169882	Isbister, chambered cairn 
59.17049	-3.00886	Kierfea Hill cairn
56.110745	-5.527057	Kilchoan Lodge,chambered cairn
57.533144	-4.3894577	Kilcoy North,chambered cairn 
57.531926	-4.3896955	Kilcoy South,chambered cairn 
58.044886	-3.9385807	Killin,chambered cairn
58.145735	-3.7076768	Kilphedir,hut circles & chambered cairns 
58.236608	-3.9233282	Kinbrace Farm,  three chambered cairns 
58.228992	-3.9159676	Kinbrace Farm, cairn, burnt mound
58.232886	-3.9169099	Kinbrace Farm,chambered cairn 
55.136749	-4.5470243	King's Cairn
57.746997	-4.1894299	King's Head Cairn, chambered cairn 
58.43758	-4.4857808	Kinloch Lodge, chambered cairn 
59.166489	-3.0168052	Knowe of Craie, chambered cairn 
59.134087	-3.052785	Knowe of Lairo
59.17378	-3.0574523	Knowe of Lingro,chambered cairn,Lingro,Wasbister,Rousay
58.98662	-3.24938	Knowe of Onston,or Unstan,chambered cairn
59.13461111	-3.04944444	Knowe of Ramsay
59.134562	-3.0495323	Knowe of Ramsay, chambered cairn 
57.889444	-4.257117	Kyleoag, chambered cairn 
57.40541	-3.3721705	Lagmore West,chambered cairn & stone circle
58.032388	-4.3893343	Lairg Moor South, chambered cairn 
58.034066	-4.3831955	Lairg Muir North, chambered cairn 
58.181886	-3.5147186	Langwell House,cairn 400m SW of,Berriedale
58.27001	-3.3912476	Latheronwheel House,chambered cairn 
57.466991	-4.2862467	Leachkin, chambered cairn
57.842621	-4.2174888	Leachonich, two chambered cairns 
58.063393	-4.988004	Ledmore, chambered cairn 
57.513075	-3.8937668	Little Urchany
53.329158	-3.8451786	Llety'r Filiast
58.045074	-4.8622932	Loch Ailsh, chambered cairn 
58.055182	-4.9497321	Loch Borralan,chambered cairn 
57.170443	-7.3338071	Loch a' Bharp, chambered cairn 
60.267412	-1.1875359	Loch of Freester, chambered cairn 
55.384023	-5.6967046	Lochorodale, long cairn 
55.37511	-5.6911033	Lochorodale,long cairn 
