latitude, longitude,label,link
58.3460,14.5887,Nixie,https://en.wikipedia.org/wiki/Näcken
58.7728,14.5959,Skogsrå (Huldra),https://en.wikipedia.org/wiki/Skogsrå
61.0090,14.5450,Tomte,https://en.wikipedia.org/wiki/Tomte
59.3293,18.0686,Myling,https://en.wikipedia.org/wiki/Myling
67.8557,20.2251,Vittra,https://en.wikipedia.org/wiki/Vittra_(folklore)
58.2837,12.2885,Trolls,https://en.wikipedia.org/wiki/Troll
56.8800,14.8200,Irrbloss (Lyktgubbe),https://en.wikipedia.org/wiki/Will-o%27-the-wisp

64.1466,-21.9426,Huldufólk (Hidden People),https://en.wikipedia.org/wiki/Huldufólk
65.6061,-16.9130,Yule Lads (Jólasveinar),https://en.wikipedia.org/wiki/Yule_Lads
65.6061,-16.9130,Grýla,https://en.wikipedia.org/wiki/Grýla
65.6061,-16.9130,Jólakötturinn (Yule Cat),https://en.wikipedia.org/wiki/Yule_cat
65.2180,-14.4267,Lagarfljót Worm (Lagarfljótsormurinn),https://en.wikipedia.org/wiki/Lagarflj%C3%B3t_Worm
65.7439,-23.7130,Draugur,https://en.wikipedia.org/wiki/Draugr

8.0000,-67.0000,El Silbón (Venezuela),https://en.wikipedia.org/wiki/El_Silb%C3%B3n
4.7110,-74.0721,La Patasola (Colombia),https://en.wikipedia.org/wiki/Patasola
-26.8241,-65.2226,El Familiar (Argentina),https://es.wikipedia.org/wiki/El_Familiar
-23.5505,-46.6333,Saci (Brazil),https://en.wikipedia.org/wiki/Saci_(Brazilian_folklore)
-3.4653,-62.2159,Curupira (Brazil),https://en.wikipedia.org/wiki/Curupira
-13.1631,-72.5450,Pishtaco (Peru),https://en.wikipedia.org/wiki/Pishtaco
-25.2637,-57.5759,Luisón (Paraguay),https://en.wikipedia.org/wiki/Luison
-42.6403,-73.9922,Caleuche (Chile),https://en.wikipedia.org/wiki/Caleuche
-16.4897,-68.1193,Ekeko (Bolivia),https://en.wikipedia.org/wiki/Ekeko

55.7558,37.6173,Baba Yaga,https://en.wikipedia.org/wiki/Baba_Yaga
59.9343,30.3351,Leshy,https://en.wikipedia.org/wiki/Leshy
52.2869,104.3050,Domovoy,https://en.wikipedia.org/wiki/Domovoy
43.1332,131.9105,Kashchey the Deathless,https://en.wikipedia.org/wiki/Kashchey
64.5393,40.5175,Zmey Gorynych,https://en.wikipedia.org/wiki/Zmey_Gorynych
56.2965,44.3130,Rusalka (Rusalki),https://en.wikipedia.org/wiki/Rusalki
55.7963,49.1088,Vodyanoy,https://en.wikipedia.org/wiki/Vodyanoy
62.0281,129.7324,Kikimora,https://en.wikipedia.org/wiki/Kikimora
57.1522,65.5272,Firebird,https://en.wikipedia.org/wiki/Firebird_(Slavic_folklore)
57.7665,40.9269,Snegurochka,https://en.wikipedia.org/wiki/Snegurochka

44.7866,20.4489,Zmaj (Serbian Dragon),https://en.wikipedia.org/wiki/Slavic_dragon
43.3247,21.9033,Ala (demon),https://en.wikipedia.org/wiki/Ala_(demon)
45.2671,19.8335,Bauk,https://en.wikipedia.org/wiki/Bauk_(mythology)
44.0167,21.0059,Psoglav,https://en.wikipedia.org/wiki/Psoglav
43.9708,19.5666,Sava Savanović,https://en.wikipedia.org/wiki/Sava_Savanović


48.2772,-84.5086,Wendigo,https://en.wikipedia.org/wiki/Wendigo
49.2827,-123.1207,Sasquatch (Bigfoot),https://en.wikipedia.org/wiki/Bigfoot
49.8879,-119.4960,Ogopogo,https://en.wikipedia.org/wiki/Ogopogo
46.8139,-71.2080,Loup-Garou (French-Canadian Werewolf),https://en.wikipedia.org/wiki/Loup-garou
45.5017,-73.5673,La Chasse-galerie (Flying Canoe),https://en.wikipedia.org/wiki/Chasse-galerie
