item,location,itemLabel
http://www.wikidata.org/entity/Q16933728,Point(-3.43617 54.7565),Milefortlet 20
http://www.wikidata.org/entity/Q16933728,Point(-3.435834 54.756555),Milefortlet 20
http://www.wikidata.org/entity/Q48798312,Point(-3.8255773 55.997606),Watling Lodge fortlet
http://www.wikidata.org/entity/Q48798485,Point(-3.906586 55.991051),Seabegs Wood fortlet
http://www.wikidata.org/entity/Q56664636,Point(-4.8270417 55.860119),"Outerwards, Roman fortlet"
http://www.wikidata.org/entity/Q81321416,Point(-4.283289 55.923973),Summerston fortlet
http://www.wikidata.org/entity/Q81444113,Point(-3.641389 56.005372),Kinneil fortlet
http://www.wikidata.org/entity/Q16247476,Point(-3.428225 54.80967),Milefortlet 16
http://www.wikidata.org/entity/Q16247483,Point(-3.437276 54.797251),Milefortlet 17
http://www.wikidata.org/entity/Q16247483,Point(-3.43689 54.7971),Milefortlet 17
http://www.wikidata.org/entity/Q16247496,Point(-3.46602 54.7362),Milefortlet 22
http://www.wikidata.org/entity/Q16247496,Point(-3.466024 54.736241),Milefortlet 22
http://www.wikidata.org/entity/Q16247500,Point(-3.485135 54.72792),Milefortlet 23
http://www.wikidata.org/entity/Q16247500,Point(-3.48481 54.7279),Milefortlet 23
http://www.wikidata.org/entity/Q16247504,Point(-3.508029 54.704629),Milefortlet 25
http://www.wikidata.org/entity/Q16933724,Point(-3.42331 54.822535),Milefortlet 15
http://www.wikidata.org/entity/Q6851142,Point(-1.53231 54.98791),Milecastle 0
http://www.wikidata.org/entity/Q6851143,Point(-1.744027 54.995197),Milecastle 10
http://www.wikidata.org/entity/Q6851144,Point(-1.767306 54.996142),Milecastle 11
http://www.wikidata.org/entity/Q6851145,Point(-1.550492 54.983494),Milecastle 1
http://www.wikidata.org/entity/Q6851146,Point(-1.789811 54.996768),Milecastle 12
http://www.wikidata.org/entity/Q6851147,Point(-1.81246 55.000327),Milecastle 13
http://www.wikidata.org/entity/Q6851150,Point(-1.856962 55.005644),Milecastle 15
http://www.wikidata.org/entity/Q6851151,Point(-1.87973 55.0092),Milecastle 16
http://www.wikidata.org/entity/Q6851152,Point(-1.90303 55.0085),Milecastle 17
http://www.wikidata.org/entity/Q6851153,Point(-1.926324 55.009777),Milecastle 18
http://www.wikidata.org/entity/Q6851154,Point(-1.949307 55.011316),Milecastle 19
http://www.wikidata.org/entity/Q6851155,Point(-1.569447 54.978979),Milecastle 2
http://www.wikidata.org/entity/Q6851157,Point(-1.972057 55.012716),Milecastle 20
http://www.wikidata.org/entity/Q6851158,Point(-1.994794 55.011201),Milecastle 21
http://www.wikidata.org/entity/Q6851159,Point(-2.040394 55.014932),Milecastle 23
http://www.wikidata.org/entity/Q6851160,Point(-2.017702 55.012062),Milecastle 22
http://www.wikidata.org/entity/Q6851161,Point(-2.086113 55.019177),Milecastle 25
http://www.wikidata.org/entity/Q6851163,Point(-2.10967 55.020461),Milecastle 26
http://www.wikidata.org/entity/Q6851164,Point(-2.131845 55.024321),Milecastle 27
http://www.wikidata.org/entity/Q6851166,Point(-2.15301 55.029205),Milecastle 28
http://www.wikidata.org/entity/Q6851166,Point(-2.152839 55.029086),Milecastle 28
http://www.wikidata.org/entity/Q6851167,Point(-2.196562 55.038503),Milecastle 30
http://www.wikidata.org/entity/Q6851168,Point(-1.589009 54.975901),Milecastle 3
http://www.wikidata.org/entity/Q6851170,Point(-2.227914 55.034899),Milecastle 31
http://www.wikidata.org/entity/Q6851171,Point(-2.26611 55.030867),Milecastle 33
http://www.wikidata.org/entity/Q6851172,Point(-2.243002 55.033207),Milecastle 32
http://www.wikidata.org/entity/Q6851174,Point(-2.35684 55.007253),Milecastle 38
http://www.wikidata.org/entity/Q6851175,Point(-2.37576 55.0036),Milecastle 39
http://www.wikidata.org/entity/Q6851176,Point(-1.617812 54.969948),Milecastle 4
http://www.wikidata.org/entity/Q6851179,Point(-2.487884 54.996104),Milecastle 44
http://www.wikidata.org/entity/Q6851180,Point(-2.549985 54.988021),Milecastle 47
http://www.wikidata.org/entity/Q6851181,Point(-2.57352 54.989),Milecastle 48
http://www.wikidata.org/entity/Q6851183,Point(-2.616077 54.987165),Milecastle 50
http://www.wikidata.org/entity/Q6851185,Point(-1.628967 54.971402),Milecastle 5
http://www.wikidata.org/entity/Q6851186,Point(-2.637411 54.982382),Milecastle 51
http://www.wikidata.org/entity/Q6851187,Point(-2.658574 54.976967),Milecastle 52
http://www.wikidata.org/entity/Q6851189,Point(-2.681336 54.974146),Milecastle 53
http://www.wikidata.org/entity/Q6851190,Point(-1.676469 54.980119),Milecastle 7
http://www.wikidata.org/entity/Q6851192,Point(-3.056017 54.922312),Milecastle 72
http://www.wikidata.org/entity/Q6851193,Point(-3.100446 54.92659),Milecastle 74
http://www.wikidata.org/entity/Q6851194,Point(-3.123093 54.927282),Milecastle 75
http://www.wikidata.org/entity/Q6851195,Point(-3.078538 54.924271),Milecastle 73
http://www.wikidata.org/entity/Q6851196,Point(-3.145589 54.92815),Milecastle 76
http://www.wikidata.org/entity/Q6851197,Point(-3.161712 54.935277),Milecastle 77
http://www.wikidata.org/entity/Q6851198,Point(-3.179285 54.941084),Milecastle 78
http://www.wikidata.org/entity/Q6851200,Point(-3.194427 54.948979),Milecastle 79
http://www.wikidata.org/entity/Q6851201,Point(-3.215155 54.952908),Milecastle 80
http://www.wikidata.org/entity/Q6851202,Point(-1.70064 54.986472),Milecastle 8
http://www.wikidata.org/entity/Q6851203,Point(-1.722327 54.990701),Milecastle 9
http://www.wikidata.org/entity/Q6851204,Point(-3.45046 54.7466),Milefortlet 21
http://www.wikidata.org/entity/Q6851204,Point(-3.450398 54.746648),Milefortlet 21
http://www.wikidata.org/entity/Q15253378,Point(-1.833018 55.003682),Milecastle 14
http://www.wikidata.org/entity/Q15253379,Point(-2.063043 55.017825),Milecastle 24
http://www.wikidata.org/entity/Q15253380,Point(-2.175435 55.034267),Milecastle 29
http://www.wikidata.org/entity/Q15253381,Point(-2.287715 55.028706),Milecastle 34
http://www.wikidata.org/entity/Q15253382,Point(-1.653079 54.974663),Milecastle 6
http://www.wikidata.org/entity/Q15378719,Point(-2.726444 54.971818),Milecastle 55
http://www.wikidata.org/entity/Q16156487,Point(-2.306637 55.025812),Milecastle 35
http://www.wikidata.org/entity/Q16156512,Point(-2.337652 55.01234),Milecastle 37
http://www.wikidata.org/entity/Q16156512,Point(-2.33762 55.012333),Milecastle 37
http://www.wikidata.org/entity/Q16156553,Point(-2.399161 55.002179),Milecastle 40
http://www.wikidata.org/entity/Q16156568,Point(-2.423185 54.997335),Milecastle 41
http://www.wikidata.org/entity/Q16156578,Point(-2.445829 54.993992),Milecastle 42
http://www.wikidata.org/entity/Q16156587,Point(-2.464897 54.995296),Milecastle 43
http://www.wikidata.org/entity/Q16156595,Point(-2.50613 54.992705),Milecastle 45
http://www.wikidata.org/entity/Q16156595,Point(-2.506084 54.992741),Milecastle 45
http://www.wikidata.org/entity/Q16156605,Point(-2.525607 54.987595),Milecastle 46
http://www.wikidata.org/entity/Q16156605,Point(-2.5256 54.98759),Milecastle 46
http://www.wikidata.org/entity/Q16156627,Point(-2.59499 54.9908),Milecastle 49
http://www.wikidata.org/entity/Q16156676,Point(-2.615428 54.985551),Milecastle 50TW
http://www.wikidata.org/entity/Q16156730,Point(-2.785641 54.955364),Milecastle 58
http://www.wikidata.org/entity/Q16156741,Point(-2.804851 54.94769),Milecastle 59
http://www.wikidata.org/entity/Q16156790,Point(-2.825862 54.944493),Milecastle 60
