item,location,label
http://www.wikidata.org/entity/Q523097,Point(-2.146944444 51.263611111),Westbury White Horse
http://www.wikidata.org/entity/Q615792,Point(13.720777777 53.40275),forest swastika
http://www.wikidata.org/entity/Q1055469,Point(-2.47474 50.8137),Cerne Abbas Giant
http://www.wikidata.org/entity/Q1056493,Point(-1.56675 51.5777),Uffington White Horse
http://www.wikidata.org/entity/Q1070223,Point(-1.9299 51.4253),Cherhill White Horse
http://www.wikidata.org/entity/Q1156421,Point(-69.63305556 -19.94888889),Atacama Giant
http://www.wikidata.org/entity/Q1510978,Point(137.465 -29.53),Marree Man
http://www.wikidata.org/entity/Q1869405,Point(0.188022 50.8101),Long Man of Wilmington
http://www.wikidata.org/entity/Q1914227,Point(35.801111111 32.908611111),Rujm el-Hiri
http://www.wikidata.org/entity/Q2460316,Point(-114.538333 33.800278),Blythe Intaglios
http://www.wikidata.org/entity/Q2574847,Point(-76.308572 -13.7943428),Paracas Candelabra
http://www.wikidata.org/entity/Q2620036,Point(-75.133333333 -14.716666666),Nazca Lines
http://www.wikidata.org/entity/Q2962912,Point(-1.212738888 54.224788888),Kilburn White Horse
http://www.wikidata.org/entity/Q3832880,Point(-68.705 -18.26888889),Sajama Lines
http://www.wikidata.org/entity/Q4245109,Point(-114.171 51.0203),Battalion Park
http://www.wikidata.org/entity/Q4927176,Point(-111.84 40.7794),Block U
http://www.wikidata.org/entity/Q4971984,Point(-1.85915 51.5033),Broad Town White Horse
http://www.wikidata.org/entity/Q4996137,Point(-1.71506 51.1941),Bulford Kiwi
http://www.wikidata.org/entity/Q5267590,Point(-1.97845 51.3763),Devizes White Horse
http://www.wikidata.org/entity/Q5464533,Point(1.13971 51.1012),Folkestone White Horse
http://www.wikidata.org/entity/Q5839946,Point(-69.67366111 -20.61917778),Geoglifos de Pintados
http://www.wikidata.org/entity/Q6771689,Point(-1.7376 51.4128),Marlborough White Horse
http://www.wikidata.org/entity/Q7059835,Point(-1.62808333 55.08838889),Northumberlandia
http://www.wikidata.org/entity/Q7107164,Point(-2.40438 50.6574),Osmington White Horse
http://www.wikidata.org/entity/Q7202491,Point(-90.4067 42.7637),Platte Mound M
http://www.wikidata.org/entity/Q7382210,Point(59.1922 54.9425),Russian geoglyph
http://www.wikidata.org/entity/Q7717476,Point(-122.2496 37.8746),"The Big ""C"""
http://www.wikidata.org/entity/Q16571183,Point(-79.30033611 -6.79595056),Oyotún Eagle
http://www.wikidata.org/entity/Q16903198,Point(-0.8116 51.7286),Whiteleaf Cross
http://www.wikidata.org/entity/Q17061895,Point(-122.4189591 37.6614238),South San Francisco Hillside Sign
http://www.wikidata.org/entity/Q17641764,Point(-0.888058 51.702),Bledlow Cross
http://www.wikidata.org/entity/Q18748939,Point(-123.09271 44.05776),"Big ""O"""
http://www.wikidata.org/entity/Q20712648,Point(-1.75652778 51.32122222),Pewsey White Horse
http://www.wikidata.org/entity/Q21592102,Point(-69.17848333 -22.24852778),Geoglyphs of Chug-Chug
http://www.wikidata.org/entity/Q24181322,Point(-1.8175 51.4724),Hackpen White Horse
http://www.wikidata.org/entity/Q27869450,Point(-70.88619 -17.192715),Chen Chen geoglyph
http://www.wikidata.org/entity/Q29876895,Point(-1.8479 51.3726),Alton Barnes White Horse
http://www.wikidata.org/entity/Q33212373,Point(-114.17397 51.021285),Battalion Numbers
http://www.wikidata.org/entity/Q33535336,Point(-75.1263238 -14.6972668),Nazca Condor Geoglyph
http://www.wikidata.org/entity/Q33540121,Point(-75.1307646 -14.7064014),Nazca Dog geoglyph
http://www.wikidata.org/entity/Q33543258,Point(-75.1385146 -14.706954),Nazca Monkey geoglyph
http://www.wikidata.org/entity/Q33543271,Point(-75.1143991 -14.6938769),Nazca Tree geoglyph
http://www.wikidata.org/entity/Q33544174,Point(-75.1183696 -14.6937748),Nazca Flower geoglyph
http://www.wikidata.org/entity/Q33544189,Point(-75.0995673 -14.6784395),Nazca Killer Whale geoglyph
http://www.wikidata.org/entity/Q33544197,Point(-75.1139501 -14.6945275),Nazca Hands geoglyph
http://www.wikidata.org/entity/Q33544209,Point(-75.1383103 -14.689642),Nazca Small Spiral geoglyph
http://www.wikidata.org/entity/Q33544220,Point(-75.1105575 -14.6852224),Nazca Pelican geoglyph
http://www.wikidata.org/entity/Q33544229,Point(-74.9043526 -14.8362677),Nazca Needles geoglyph
http://www.wikidata.org/entity/Q33544238,Point(-75.2031365 -14.5921595),Nazca Royal Family geoglyph
http://www.wikidata.org/entity/Q33544247,Point(-75.1923839 -14.5242233),Nazca Sundial geoglyph
http://www.wikidata.org/entity/Q33544256,Point(-75.1075982 -14.6897019),Nazca Parrot geoglyph
http://www.wikidata.org/entity/Q33544267,Point(-75.1711843 -14.6441378),Nazca Mandala Square geoglyph
http://www.wikidata.org/entity/Q33544276,Point(-75.1707366 -14.6438578),Nazca Mandala Circles geoglyph
http://www.wikidata.org/entity/Q33544285,Point(-75.1488722 -14.6920666),Nazca Hummingbird geoglyph
http://www.wikidata.org/entity/Q33544295,Point(-75.1011328 -14.680616),Nazca Delta geoglyph
http://www.wikidata.org/entity/Q33544306,Point(-75.1141611 -14.6931238),Nazca Lizard geoglyph
http://www.wikidata.org/entity/Q33544316,Point(-75.1223512 -14.6939924),Nazca Spider geoglyph
http://www.wikidata.org/entity/Q33544325,Point(-74.9948095 -14.8166556),Nazca Whale geoglyph
http://www.wikidata.org/entity/Q33544336,Point(-75.0063329 -14.7904657),Nazca Baby Condor geoglyph
http://www.wikidata.org/entity/Q33544344,Point(-75.168554 -14.5560436),Nazca Man geoglyph
http://www.wikidata.org/entity/Q33544354,Point(-75.1753791 -14.5979137),Nazca Traveller east geoglyph
http://www.wikidata.org/entity/Q33544364,Point(-75.2049482 -14.5934375),Nazca Traveller west geoglyph
http://www.wikidata.org/entity/Q33544374,Point(-75.1135046 -14.685769),Nazca Flamingo geoglyph
http://www.wikidata.org/entity/Q33544385,Point(-75.1118393 -14.6862049),Nazca Frigate Bird geoglyph
http://www.wikidata.org/entity/Q33544394,Point(-75.1510475 -14.7083712),Nazca Llamas geoglyph
http://www.wikidata.org/entity/Q33544403,Point(-75.1741124 -14.5797884),Nazca Starburst geoglyph
http://www.wikidata.org/entity/Q33544411,Point(-75.1353301 -14.6979765),Nazca Mushroom geoglyph
http://www.wikidata.org/entity/Q33544420,Point(-75.1996954 -14.5241604),Palpa Monster geoglyph
http://www.wikidata.org/entity/Q33544428,Point(-75.1227683 -14.6898438),Nazca Seaweed geoglyph
http://www.wikidata.org/entity/Q33544439,Point(-75.1144772 -14.6575605),Nazca Spiral in Square geoglyph
http://www.wikidata.org/entity/Q33544446,Point(-75.1896157 -14.5186207),Nazca Interlinked Spirals geoglyph
http://www.wikidata.org/entity/Q33544453,Point(-74.9173982 -14.8388403),Nazca Spirals tears
http://www.wikidata.org/entity/Q33544461,Point(-75.1448516 -14.6910574),Nazca Star geoglyph
http://www.wikidata.org/entity/Q33544470,Point(-75.0560845 -14.7985873),Nazca Trapezoids geoglyph
http://www.wikidata.org/entity/Q33544479,Point(-75.2129029 -14.5327676),Nazca Knife geoglyph
http://www.wikidata.org/entity/Q33544488,Point(-75.0972725 -14.6415567),Nazca Symbols geoglyph
http://www.wikidata.org/entity/Q33861364,Point(-75.079788888 -14.745197222),Nazca Owlman geoglyph
http://www.wikidata.org/entity/Q42675620,Point(-2.0663 57.5999),Mormond White Horse
http://www.wikidata.org/entity/Q42676404,Point(-1.4545 51.1152),Woolbury White Horse
http://www.wikidata.org/entity/Q42680967,Point(-1.3875 54.9731),Cleadon White Horse
http://www.wikidata.org/entity/Q42681331,Point(0.142 50.7884),Litlington White Horse
http://www.wikidata.org/entity/Q42682168,Point(-1.4699 53.362),Heeley White Horse
http://www.wikidata.org/entity/Q42682267,Point(-1.2007 52.454),Lutterworth White Horses
http://www.wikidata.org/entity/Q42682682,Point(0.17319 51.33661),Shoreham Memorial Cross
http://www.wikidata.org/entity/Q42682851,Point(-3.4477 51.6244),Tonypandy Cross
http://www.wikidata.org/entity/Q66478028,Point(0.7291 51.2424),'The Cross': a hill-figure war memorial at Lenham
http://www.wikidata.org/entity/Q84733573,Point(-111.620721 40.248292),Block Y
http://www.wikidata.org/entity/Q106297175,Point(-57.86 -51.682777777),Royal Navy Vessel Monument
http://www.wikidata.org/entity/Q123270051,Point(-2.02528 57.602205),Mormond Hill Stag
