item,location,itemLabel
http://www.wikidata.org/entity/Q321651,Point(13.723 52.8462),Eberswalde Hoard
http://www.wikidata.org/entity/Q428188,Point(-2.518461111 43.009069444),Bowls of Axtroki
http://www.wikidata.org/entity/Q550412,Point(-105.989361111 32.739277777),Atari video game burial
http://www.wikidata.org/entity/Q737992,Point(-2.282 51.228),Frome Hoard
http://www.wikidata.org/entity/Q1133091,Point(0.411 52.343),Isleham Hoard
http://www.wikidata.org/entity/Q1135210,Point(-1.906666666 52.655277777),Staffordshire Hoard
http://www.wikidata.org/entity/Q1191855,Point(-1.527 53.992),Vale of York Hoard
http://www.wikidata.org/entity/Q1235393,Point(11.26916667 55.30138889),Q1235393
http://www.wikidata.org/entity/Q1246609,Point(68.306389 37.105833),Oxus Treasure
http://www.wikidata.org/entity/Q1488571,Point(-0.8438015 38.67371706),Treasure of Villena
http://www.wikidata.org/entity/Q1535779,Point(-8.77178907 42.64854357),Casco de Leiro
http://www.wikidata.org/entity/Q1547010,Point(0.62111111 49.17916667),Berthouville Treasure
http://www.wikidata.org/entity/Q1605142,Point(-6.037116666 37.392936111),Treasure of El Carambolo
http://www.wikidata.org/entity/Q1630184,Point(18.778404 57.723347),Spillings Hoard
http://www.wikidata.org/entity/Q1630221,Point(-2.05 49.19),Grouville Hoard
http://www.wikidata.org/entity/Q1630222,Point(8.31900024 49.10499954),Q1630222
http://www.wikidata.org/entity/Q1645645,Point(-2.89305556 58.85611111),Burray Bone Lair
http://www.wikidata.org/entity/Q1726372,Point(11.1215 60.79969444),Åker find
http://www.wikidata.org/entity/Q1801718,Point(26.699167 40.346667),Lampsacus Treasure
http://www.wikidata.org/entity/Q2295839,Point(0.508712 52.882),Snettisham Hoard
http://www.wikidata.org/entity/Q2622849,Point(-2.64812 53.7597),Cuerdale Hoard
http://www.wikidata.org/entity/Q2629914,Point(1.1875 52.3425),Hoxne treasure
http://www.wikidata.org/entity/Q3246776,Point(0.733333 52.4),Thetford Hoard
http://www.wikidata.org/entity/Q3429941,Point(5.59 62.414),Runde Hoard
http://www.wikidata.org/entity/Q3541326,Point(-1.694 51.422),Cunetio Hoard
http://www.wikidata.org/entity/Q4222797,Point(-2.75 52.71),Shrewsbury Hoard
http://www.wikidata.org/entity/Q5033614,Point(1.087748 51.277991),Canterbury-St Martin's hoard
http://www.wikidata.org/entity/Q5642783,Point(-0.850942 52.55626),Hallaton Treasure
http://www.wikidata.org/entity/Q6143477,Point(-6.690356115 39.424314675),Treasure of Aliseda
http://www.wikidata.org/entity/Q6844060,Point(-4.327 57.904),Migdale Hoard
http://www.wikidata.org/entity/Q6861244,Point(-0.7 52.035),Milton Keynes Hoard
http://www.wikidata.org/entity/Q7516673,Point(-2.83 54.17),Silverdale Hoard
http://www.wikidata.org/entity/Q10568857,Point(18.068027777 59.324555555),Lohe Hoard
http://www.wikidata.org/entity/Q10631662,Point(12.945363764 55.509647558),Hoard from Pile
http://www.wikidata.org/entity/Q10683868,Point(17.800898 59.619564),Sundveda Hoard
http://www.wikidata.org/entity/Q10718792,Point(17.88194444 59.26166667),Vårby Hoard
http://www.wikidata.org/entity/Q11975578,Point(10.075909 59.763533),Hoenskatten
http://www.wikidata.org/entity/Q12045915,Point(13.7062636 49.9505606),Q12045915
http://www.wikidata.org/entity/Q12401060,Point(-8.642222222 42.433611111),Caldas de Reis Hoard
http://www.wikidata.org/entity/Q1051134,Point(-6.80774694 61.84238111),Sandur Hoard
http://www.wikidata.org/entity/Q2629914,Point(1.1875 52.3425),Hoxne treasure
http://www.wikidata.org/entity/Q55887438,Point(69.195 34.5148),Kabul hoard
http://www.wikidata.org/entity/Q65053401,Point(-1.156 53.994),Overton Hoard
http://www.wikidata.org/entity/Q113349238,Point(-0.41265 53.65696),Deepdale Hoard
http://www.wikidata.org/entity/Q115205013,Point(-0.22 52.82),Ellerby Area Hoard
http://www.wikidata.org/entity/Q115269317,Point(10.587340004 55.519054279),Midskov hoard
http://www.wikidata.org/entity/Q115272649,Point(36.526974 45.363005),Kerch hoard (1988)
http://www.wikidata.org/entity/Q115408610,Point(3.768850809 48.638406965),Hoard of Villeneuve-Saint-Vistre
http://www.wikidata.org/entity/Q116350137,Point(6.98996 46.85182),Treasure of Dompierre
http://www.wikidata.org/entity/Q116781143,Point(-0.759638888 43.202472222),Treasure trove of Barkoxe
http://www.wikidata.org/entity/Q119402607,Point(-2.562038 56.972141),Heatheryhaugh
http://www.wikidata.org/entity/Q121635352,Point(4.826816586 45.764860263),Lazaristes Treasure
http://www.wikidata.org/entity/Q124131507,Point(9.7383 47.6895),Q124131507
http://www.wikidata.org/entity/Q124214696,Point(8.201648 49.249949),Q124214696
http://www.wikidata.org/entity/Q126887912,Point(12.5844918 47.8212463),Q126887912
http://www.wikidata.org/entity/Q93954825,Point(13.460139 50.205222),Q93954825
http://www.wikidata.org/entity/Q98306260,Point(12.558936159 47.882047663),Cultural heritage D-1-8141-0134 in Chieming
http://www.wikidata.org/entity/Q108615901,Point(-4.366666666 55.015555555),Talnotrie Hoard
http://www.wikidata.org/entity/Q109382460,Point(-0.383 53.417),Osgodby Hoard
