item	location	itemLabel
http://www.wikidata.org/entity/Q1349494	Point(14.6343 48.2525)	Erdstall in Perg
http://www.wikidata.org/entity/Q1349497	Point(1.96875278 43.43058611)	Erdstall tunnel
http://www.wikidata.org/entity/Q1349499	Point(10.0262 49.2493)	Erdstall tunnel
http://www.wikidata.org/entity/Q1827549	Point(9.75534 51.983)	Lippoldshöhle
http://www.wikidata.org/entity/Q37765183	Point(15.696744 47.355099)	Erdstall tunnel
http://www.wikidata.org/entity/Q37861032	Point(13.988075 48.57276)	Erdstall tunnel
http://www.wikidata.org/entity/Q59213192	Point(12.51233 49.28327)	Erdstall Schrazelloch bei der Rabmühle
http://www.wikidata.org/entity/Q59213194	Point(12.56065 49.17226)	Erdstall in Hochbrunn
http://www.wikidata.org/entity/Q59213195	Point(12.56885 49.21588)	Erdstall in Wulfing
http://www.wikidata.org/entity/Q59287709	Point(12.48604 49.09981)	Erdstall unter dem Gasthof Frischeisen in Falkenstein
http://www.wikidata.org/entity/Q59287711	Point(12.84523 49.28477)	Erdstall in Grub bei Furth i. Wald
http://www.wikidata.org/entity/Q98124558	Point(10.973656371 49.292967125)	Erdstall tunnel in Kammerstein
http://www.wikidata.org/entity/Q98160512	Point(10.015867712 50.157121784)	Erdstall tunnel in Aura an der Saale
http://www.wikidata.org/entity/Q98167391	Point(10.185189676 50.416416868)	Erdstall tunnel in Bastheim
http://www.wikidata.org/entity/Q98168124	Point(10.732835886 50.074505272)	Erdstall tunnel in Ebern
http://www.wikidata.org/entity/Q98168991	Point(10.000632915 49.632939234)	Erdstall tunnel in Gaukönigshofen
http://www.wikidata.org/entity/Q98169332	Point(9.947108648 49.632385407)	Erdstall tunnel in Giebelstadt
http://www.wikidata.org/entity/Q98169353	Point(9.902337083 49.651150436)	Erdstall tunnel in Giebelstadt
http://www.wikidata.org/entity/Q98170045	Point(10.555733798 50.043572018)	Erdstall tunnel in Haßfurt
http://www.wikidata.org/entity/Q98170194	Point(9.708454675 49.760662966)	Erdstall tunnel in Helmstadt
http://www.wikidata.org/entity/Q98172800	Point(10.173334368 50.064149868)	Erdstall tunnel in Niederwerrn
http://www.wikidata.org/entity/Q98172821	Point(10.191028963 50.488732261)	Erdstall tunnel in Nordheim vor der Rhön
http://www.wikidata.org/entity/Q98173634	Point(9.931230189 49.693505124)	Erdstall tunnel in Reichenberg (Unterfranken)
http://www.wikidata.org/entity/Q98174243	Point(10.138099496 49.919871734)	Erdstall tunnel in Schwanfeld
http://www.wikidata.org/entity/Q98176795	Point(9.971756225 49.793269883)	Erdstall tunnel in Würzburg
http://www.wikidata.org/entity/Q98176797	Point(9.953951657 49.777534903)	Erdstall tunnel in Würzburg
http://www.wikidata.org/entity/Q98222599	Point(12.031067312 50.246742204)	Erdstall tunnel in Rehau
http://www.wikidata.org/entity/Q98269450	Point(10.542633048 49.08712087)	Erdstall tunnel in Ehingen (Mittelfranken)
http://www.wikidata.org/entity/Q98271619	Point(12.82302815 49.244795541)	Erdstall tunnel in Arnschwang
