Latitude	Longitude	Name	Web Presence
51.51712	-0.12534	Atlantis Bookshop	https://theatlantisbookshop.com/
51.51061	-0.12665	Watkins Books	https://www.watkinsbooks.com/
51.52036	-0.13270	Treadwell's Books	https://www.treadwells-london.com/
55.95028	-3.18750	The Wyrd Shop	http://www.wyrdshop.com/
40.73524	-73.99407	Namaste Bookshop	https://www.namastebookshop.com/
34.05223	-118.24368	Magickal Realms	http://www.magickalrealms.com/
34.16829	-118.38126	The Green Man Store	https://thegreenmanstore.com/
34.09001	-118.33187	House of Intuition	https://houseofintuitionla.com/
34.00071	-118.48340	Mystic Journey Bookstore	https://www.mysticjourneybookstore.com/
37.44450	-122.16000	East West Bookshop	https://www.eastwestbooks.org/
37.81131	-122.24667	Raven's Wing Magical Co.	https://www.theravenswingmagicalco.com/
39.67795	-104.96400	Isis Books & Gifts	https://www.isisbooks.com/
33.44838	-112.07404	Vision Quest Metaphysical Bookstore	http://www.visionquestbooks.com/
34.14869	-118.14744	Alexandria II	https://www.alexandria2.com/
34.13556	-117.86405	Crystal Cave	https://www.crystalcaveonline.com/
41.00730	-74.28712	Soul Journey	https://www.souljourney.com/
3.77483	-84.36404	Charis Books & More	https://www.charisbooksandmore.com/
-37.81521	144.96323	SpellBox	https://www.spellbox.com.au/
59.33880	18.05800	Vattumannen	https://www.vattumannen.se/
47.37689	8.54169	Esoterikladen Zürich	https://www.esoterikladen.ch/
45.51970	-122.67743	Celestial Awakenings	https://www.celestial-awakenings.com/
42.35843	-71.05977	Emporium 32	https://www.emporium32.com/
45.50169	-73.56725	Crystal Dreams	https://www.crystaldreamsworld.com/
36.60024	-121.89468	White Magick Alchemy	https://www.whitemagickalchemy.com/
39.73924	-104.99025	RitualCravt	https://ritualcravt.com/
41.24119	-77.00108	Pickeyweedz	https://pickeyweedz.com/
40.67818	-73.94416	Otherworldly Waxes	https://www.otherworldlywaxes.com/
29.95107	-90.07153	Belladonna's Gift	https://belladonnasgifts.com/
25.76168	-80.19179	House of Intuition Miami	https://houseofintuitionla.com/
38.90719	-77.03687	Black Moon Botanica	https://blackmoonbotanica.com/
39.73924	-104.99025	Alkahest Books	http://www.alkahestbooks.com/
-34.60368	-58.38156	Magic Wicca	https://www.magicwicca.com/
