item	location	itemLabel
http://www.wikidata.org/entity/Q161181	Point(19.04 47.49805556)	Budapest Zero Kilometre Stone
http://www.wikidata.org/entity/Q2467833	Point(2.348785 48.853402)	Paris Point Zéro
http://www.wikidata.org/entity/Q5703680	Point(-58.388817634 -34.609506841)	Argentina km 0
http://www.wikidata.org/entity/Q8069530	Point(79.0806 21.1499)	Nagpur Zero Mile
http://www.wikidata.org/entity/Q10325364	Point(-46.633956 -23.550385)	Number zero survey marker of São Paulo
http://www.wikidata.org/entity/Q80390210	Point(115.8606 -31.9559)	Point Zero, Perth
http://www.wikidata.org/entity/Q86371478	Point(-43.992783333 -19.852494444)	Marco Zero da Pampulha
http://www.wikidata.org/entity/Q99442496	Point(103.762 1.455583333)	Kilometre Zero of Peninsular Malaysia
http://www.wikidata.org/entity/Q134977890	Point(61.400689 55.163688)	Chelyabinsk
http://www.wikidata.org/entity/Q135839950	Point(-34.871142136 -8.063090696)	Recife - Brazil
