item,label,country,location
http://www.wikidata.org/entity/Q152482,General Sherman,http://www.wikidata.org/entity/Q30,Point(-118.750833333 36.580833333)
http://www.wikidata.org/entity/Q2865527,Mother of the Forest,http://www.wikidata.org/entity/Q30,Point(-120.2849 38.2673)
http://www.wikidata.org/entity/Q2152441,Riesenmammutbaum bei Schotten,http://www.wikidata.org/entity/Q183,Point(9.10992 50.4724)
http://www.wikidata.org/entity/Q1285575,Giant sequoias near Kölpin,http://www.wikidata.org/entity/Q183,Point(11.6545 53.6351)
http://www.wikidata.org/entity/Q1967325,Washington,http://www.wikidata.org/entity/Q30,Point(-118.763 36.5642)
http://www.wikidata.org/entity/Q3106707,Wawona Tree,http://www.wikidata.org/entity/Q30,Point(-119.595 37.5148)
http://www.wikidata.org/entity/Q2975247,President,http://www.wikidata.org/entity/Q30,Point(-118.751389 36.5625)
http://www.wikidata.org/entity/Q1501618,General Grant,http://www.wikidata.org/entity/Q30,Point(-118.9711 36.748)
http://www.wikidata.org/entity/Q21086204,Sequoies de la Torre del Remei,http://www.wikidata.org/entity/Q29,Point(1.891368 42.420411)
http://www.wikidata.org/entity/Q110227805,ND 2 Mammutbäume in Binz,http://www.wikidata.org/entity/Q183,Point(13.61424 54.40017)
http://www.wikidata.org/entity/Q28164976,Pioneer Cabin Tree,http://www.wikidata.org/entity/Q30,Point(-120.303139 38.280167)
http://www.wikidata.org/entity/Q120001919,giant sequoia, Dehesa del Cid,http://www.wikidata.org/entity/Q29,Point(-4.898575859 40.680142325)
http://www.wikidata.org/entity/Q6550469,Lincoln,http://www.wikidata.org/entity/Q30,Point(-118.75604 36.57187)
http://www.wikidata.org/entity/Q6411250,King Arthur,http://www.wikidata.org/entity/Q30,Point(-118.71703 36.32838)
http://www.wikidata.org/entity/Q106523702,Sequoiadendron giganteum in Bankya,http://www.wikidata.org/entity/Q219,Point(23.151761 42.704573)
http://www.wikidata.org/entity/Q12051340,Sekvojovce v Ratměřicích,http://www.wikidata.org/entity/Q213,Point(14.7594 49.6442)
http://www.wikidata.org/entity/Q7343832,Robert E. Lee,http://www.wikidata.org/entity/Q30,Point(-118.971 36.748)
http://www.wikidata.org/entity/Q106523515,Sequoiadendron giganteum in Karlovo,http://www.wikidata.org/entity/Q219,Point(24.807881 42.638215)
http://www.wikidata.org/entity/Q4943345,Boole,http://www.wikidata.org/entity/Q30,Point(-118.949 36.8239)
http://www.wikidata.org/entity/Q7366410,Roosevelt,http://www.wikidata.org/entity/Q30,Point(-118.919 36.6939)
http://www.wikidata.org/entity/Q106523979,Sequoiadendron giganteum in Rozino,http://www.wikidata.org/entity/Q219,Point(24.544147 42.713945)
http://www.wikidata.org/entity/Q106523980,Sequoiadendron giganteum in Rozino,http://www.wikidata.org/entity/Q219,Point(24.544147 42.713945)
http://www.wikidata.org/entity/Q17107564,Summit Road Tree,http://www.wikidata.org/entity/Q30,Point(-118.6711 36.2281)
