item,location,itemLabel
http://www.wikidata.org/entity/Q3685189,Point(8.589722 40.604722),Area archeologica di Sa Figu
http://www.wikidata.org/entity/Q3713396,Point(8.818166666 40.8485),Domus de Janas of Sedini
http://www.wikidata.org/entity/Q3943281,Point(9.17833333 39.31),S'acqua 'e is dolus
http://www.wikidata.org/entity/Q15836508,Point(9.632051 39.97794),Domus de janas di Lotzorai
http://www.wikidata.org/entity/Q17638617,Point(8.5188138 40.6980362),Domus de janas di Molafà
http://www.wikidata.org/entity/Q17638617,Point(8.61037 40.743089),Domus de janas di Molafà
http://www.wikidata.org/entity/Q26772481,Point(8.2231 40.8401),Q26772481
http://www.wikidata.org/entity/Q26772485,Point(8.56111111 40.68305556),Q26772485
http://www.wikidata.org/entity/Q30253125,Point(8.641955 40.616535),Domus de janas di Sa Figu Niedda (Florinas)
http://www.wikidata.org/entity/Q30253275,Point(8.650933 40.611443),Domus de janas di Sa Rocca 'e su Lampu
http://www.wikidata.org/entity/Q38795074,Point(8.623107 40.627558),domus de janas di Paesanu (Ossi)
http://www.wikidata.org/entity/Q47530285,Point(8.621516 40.660099),Domus de janas di Pesciarzos
http://www.wikidata.org/entity/Q47530359,Point(8.368161 40.536761),Domus de janas di Scala Piccada
http://www.wikidata.org/entity/Q47530371,Point(9.2616133 40.5890274),Q47530371
http://www.wikidata.org/entity/Q47795031,Point(9.653967 39.76804),Q47795031
http://www.wikidata.org/entity/Q61891470,Point(8.839295 40.56061),domus de janas di Su Stampu 'e sa Fata
http://www.wikidata.org/entity/Q90885127,Point(8.8823287 40.0915907),Q90885127
http://www.wikidata.org/entity/Q122166082,Point(8.592783 40.604416),Q122166082
http://www.wikidata.org/entity/Q122166110,Point(9.025413 40.207098),Q122166110
http://www.wikidata.org/entity/Q122166139,Point(8.6333119 40.4399087),Q122166139
http://www.wikidata.org/entity/Q122204924,Point(9.478019 40.300989),Q122204924
http://www.wikidata.org/entity/Q122204935,Point(9.567783333 39.245727777),Q122204935
http://www.wikidata.org/entity/Q122204936,Point(8.771814907 40.451872235),Q122204936
http://www.wikidata.org/entity/Q122205162,Point(8.432489 39.223824),Q122205162
http://www.wikidata.org/entity/Q122324717,Point(8.8842673 39.9704074),Q122324717
http://www.wikidata.org/entity/Q122324737,Point(8.648352 40.609475),Q122324737
http://www.wikidata.org/entity/Q123956485,Point(8.57262 40.17867),Domus de janas di Serruggiu
http://www.wikidata.org/entity/Q135297551,Point(8.8903478 40.6495344),Shelter of Luzzanas
