item	location	itemLabel
http://www.wikidata.org/entity/Q1010775	Point(12.9665 49.0606)	Burg Altnußberg
http://www.wikidata.org/entity/Q1010821	Point(12.9642 50.20590278)	Andělská Hora Castle
http://www.wikidata.org/entity/Q1010832	Point(14.9609 48.4944)	Arbesbach Castle
http://www.wikidata.org/entity/Q1010836	Point(7.69556 46.6086)	Aris ob Kien Castle
http://www.wikidata.org/entity/Q1010841	Point(10.2331 53.6586)	Burg Arnesvelde
http://www.wikidata.org/entity/Q1010876	Point(16.304634722 49.537993888)	Aueršperk
http://www.wikidata.org/entity/Q1010900	Point(8.505654 47.314715)	Baldern, medieval castle site
http://www.wikidata.org/entity/Q1010917	Point(11.1783 49.0206)	Burg Bechthal
http://www.wikidata.org/entity/Q1010936	Point(9.33417 46.8456)	Burg Belmont
http://www.wikidata.org/entity/Q1010951	Point(17.89805556 48.79083333)	Beckov Castle
http://www.wikidata.org/entity/Q1010963	Point(8.17222 47.5953)	Bernau Castle
http://www.wikidata.org/entity/Q1010967	Point(9.59647 46.8414)	Bernegg Castle, Graubünden
http://www.wikidata.org/entity/Q1010992	Point(7.29806 51.2494)	Burg Beyenburg
http://www.wikidata.org/entity/Q1010994	Point(9.010277777 47.208888888)	Bibiton Castle
http://www.wikidata.org/entity/Q1011037	Point(7.82705 47.47464)	Bischofstein Castle
http://www.wikidata.org/entity/Q1011076	Point(14.09916667 50.69777778)	Blansko Castle
http://www.wikidata.org/entity/Q1011083	Point(17.26888889 48.49388889)	Plavecký hrad
http://www.wikidata.org/entity/Q1011118	Point(18.947103 48.947107)	Blatnica Castle
http://www.wikidata.org/entity/Q1011118	Point(18.9475 48.94722222)	Blatnica Castle
http://www.wikidata.org/entity/Q1011134	Point(16.66154167 49.481975)	Boskovice Castle
http://www.wikidata.org/entity/Q1011142	Point(7.67819 47.0131)	Brandis Castle
http://www.wikidata.org/entity/Q1011178	Point(12.398500315 49.072491743)	Burg Brennberg
http://www.wikidata.org/entity/Q1011191	Point(16.97222222 49.89527778)	Hrad Brníčko
http://www.wikidata.org/entity/Q1011254	Point(9.4225 46.5931)	Bärenburg
http://www.wikidata.org/entity/Q1011258	Point(7.61383 47.46338)	Burg Bärenfels
http://www.wikidata.org/entity/Q1011267	Point(8.1309 48.4942)	Burg Bärenburg
http://www.wikidata.org/entity/Q1011268	Point(16.1136 47.4389)	Schloss Bärnegg
http://www.wikidata.org/entity/Q1011294	Point(9.42222 46.6139)	Cagliatscha Castle
http://www.wikidata.org/entity/Q1011304	Point(15.82826472 50.58381833)	Břecštejn
http://www.wikidata.org/entity/Q1011313	Point(9.36556 46.8281)	Canaschal Castle
http://www.wikidata.org/entity/Q1011317	Point(9.471388888 46.700444444)	Campell Castle
http://www.wikidata.org/entity/Q1011319	Point(8.98715 46.7477)	Burg Cartatscha
http://www.wikidata.org/entity/Q1011323	Point(9.209722222 46.756666666)	Castelberg Castle
http://www.wikidata.org/entity/Q1011329	Point(9.24111 46.7764)	Burg Castrisch
http://www.wikidata.org/entity/Q1011332	Point(9.56171769 46.3397405)	Castelmur Castle
http://www.wikidata.org/entity/Q1011335	Point(9.745064 46.924713)	Castels Castle
http://www.wikidata.org/entity/Q1011348	Point(14.50805556 50.58916667)	Chudý hrádek
