item,itemLabel,geo
http://www.wikidata.org/entity/Q42888586,Peanse sacrificial stone,Point(23.739336463 58.67220439)
http://www.wikidata.org/entity/Q65108830,Ruotokivi,Point(23.26693078 60.3527261)
http://www.wikidata.org/entity/Q65104039,Karhunkangas,Point(25.18133492 61.54995267)
http://www.wikidata.org/entity/Q65105214,Kukonharju,Point(22.41147584 60.49234503)
http://www.wikidata.org/entity/Q65109928,Karinpäällystänmäki,Point(21.61561936 60.82817188)
http://www.wikidata.org/entity/Q65094598,Alttinakivi,Point(29.97938061 62.389386)
http://www.wikidata.org/entity/Q65109270,Berghem,Point(24.22649106 60.18029753)
http://www.wikidata.org/entity/Q65109718,Virnamäenpuisto 3,Point(22.31603508 60.46400023)
http://www.wikidata.org/entity/Q116785208,Varudi-Altküla Hiiekivi,Point(26.5955 59.431777777)
http://www.wikidata.org/entity/Q113462304,Q113462304,Point(23.736411111 63.079688888)
http://www.wikidata.org/entity/Q65094419,Äijänkumpu,Point(24.99308456 65.40829789)
http://www.wikidata.org/entity/Q65106325,Paistanoja,Point(22.12615432 60.66298469)
http://www.wikidata.org/entity/Q42888589,Tuhu sacrificial stone,Point(23.834153391 58.595450572)
http://www.wikidata.org/entity/Q65106675,Lautela kuppikallio,Point(22.68537652 60.47117937)
http://www.wikidata.org/entity/Q65109677,Vähätalon mäki/Ihamuotilan kylätontti,Point(22.31509021 60.49147993)
http://www.wikidata.org/entity/Q104388203,Q104388203,Point(14.021094 51.6738)
http://www.wikidata.org/entity/Q111151594,Õepa sacrificial stone,Point(24.251975863 58.575607311)
http://www.wikidata.org/entity/Q65105318,Hirsviita,Point(24.07147465 60.27761911)
http://www.wikidata.org/entity/Q65094468,Ristikivi,Point(31.13211441 62.45353948)
http://www.wikidata.org/entity/Q115916068,Lemmikneeme sacrificial stone,Point(24.773268 59.582132)
http://www.wikidata.org/entity/Q65109719,Virnamäenpuisto 2,Point(22.31548372 60.46428662)
http://www.wikidata.org/entity/Q65105875,Kotilahti,Point(27.37185987 61.50530355)
http://www.wikidata.org/entity/Q65107451,Hämeensaari 2,Point(25.49609809 63.39431715)
http://www.wikidata.org/entity/Q65109785,Häihälä 2,Point(23.45890871 61.08751088)
http://www.wikidata.org/entity/Q65107454,Pajujärvi,Point(25.17697613 63.57458386)
http://www.wikidata.org/entity/Q65110215,Uotila 1,Point(23.50071671 61.30909691)
http://www.wikidata.org/entity/Q65107043,Sandviks bergen 3,Point(21.95662993 60.24239016)
