item	location	itemLabel
http://www.wikidata.org/entity/Q5600400	Point(136.36 36.2275)	Great sugi of Kayano
http://www.wikidata.org/entity/Q11355279	Point(138.919264 35.122003)	Fragrant Olive at Mishima Taisha
http://www.wikidata.org/entity/Q11665779	Point(130.53491667 33.52136111)	Tobiume
http://www.wikidata.org/entity/Q12379570	Point(22.215817 58.896413)	Q12379570
http://www.wikidata.org/entity/Q12618902	Point(127.1512342 36.9673597)	Cheonan Yangnyeong-ri juniper tree
http://www.wikidata.org/entity/Q14955992	Point(22.60218 58.70321)	Q14955992
http://www.wikidata.org/entity/Q15630541	Point(25.905731 59.529678)	Q15630541
http://www.wikidata.org/entity/Q15635705	Point(24.291378 58.925898)	Sipa lime tree
http://www.wikidata.org/entity/Q15741373	Point(26.39287 57.61266)	Q15741373
http://www.wikidata.org/entity/Q16408919	Point(24.930905669 58.907908677)	Ohekatku Oak
http://www.wikidata.org/entity/Q16409267	Point(26.8436572 57.8877749)	Pühaliistu oak in Osula
http://www.wikidata.org/entity/Q16409731	Point(26.653563211 58.015136)	Q16409731
http://www.wikidata.org/entity/Q16410069	Point(27.384596123 57.795836622)	Q16410069
http://www.wikidata.org/entity/Q16411884	Point(25.804504301 58.63221671)	Q16411884
http://www.wikidata.org/entity/Q16411985	Point(27.535032808 59.201730192)	Q16411985
http://www.wikidata.org/entity/Q16412076	Point(27.104762359 58.72661112)	Rannamõisa Oak
http://www.wikidata.org/entity/Q16412107	Point(26.986278902 58.261029113)	Q16412107
http://www.wikidata.org/entity/Q16412133	Point(25.446789077 58.026703766)	Q16412133
http://www.wikidata.org/entity/Q17222727	Point(139.733333 35.653333)	Ginkgo tree of Zenpuku-ji
http://www.wikidata.org/entity/Q18623508	Point(26.311375537 57.595372817)	Q18623508
http://www.wikidata.org/entity/Q18623519	Point(26.15205044 58.638778861)	Q18623519
http://www.wikidata.org/entity/Q18623619	Point(26.786582341 58.506093156)	Q18623619
http://www.wikidata.org/entity/Q18623693	Point(23.325589 58.60304)	Q18623693
http://www.wikidata.org/entity/Q18759691	Point(23.876679785 58.970759383)	Hollow tree of Palivere
http://www.wikidata.org/entity/Q20530742	Point(27.0184247 59.427554058)	Q20530742
http://www.wikidata.org/entity/Q24862411	Point(135.83499722 34.68196389)	Yōgō no Matsu
http://www.wikidata.org/entity/Q28922793	Point(120.786468 24.263858)	Wufu Linmen Sacred Tree
http://www.wikidata.org/entity/Q28922793	Point(120.786468 24.263858)	Wufu Linmen Sacred Tree
http://www.wikidata.org/entity/Q31274238	Point(24.526342747 58.616259919)	Q31274238
http://www.wikidata.org/entity/Q34899072	Point(121.402777777 24.181111111)	Bilu Sacred Tree
http://www.wikidata.org/entity/Q60577358	Point(138.989055555 34.75425)	Giant Camphor Tree at Sugihokowake no Mikoto Shrine
http://www.wikidata.org/entity/Q65278116	Point(138.609055555 35.496333333)	Shoji-no-Osugi
http://www.wikidata.org/entity/Q104099811	Point(24.05965 67.695588888)	Q104099811
http://www.wikidata.org/entity/Q116459977	Point(79.699464 12.847325)	Sacred Mango Tree (Ekambareswarar Temple, Kanchipuram)
http://www.wikidata.org/entity/Q123486959	Point(130.411222222 33.593055555)	Kushida no Ginan
http://www.wikidata.org/entity/Q124061996	Point(130.410638888 33.592833333)	Meoto-ginan
