item	location	itemLabel
http://www.wikidata.org/entity/Q5600400	Point(136.36 36.2275)	Great sugi of Kayano
http://www.wikidata.org/entity/Q11355279	Point(138.919264 35.122003)	Fragrant Olive at Mishima Taisha
http://www.wikidata.org/entity/Q11665779	Point(130.53491667 33.52136111)	Tobiume
http://www.wikidata.org/entity/Q24862411	Point(135.83499722 34.68196389)	Yōgō no Matsu
http://www.wikidata.org/entity/Q28922793	Point(120.786468 24.263858)	Wufu Linmen Sacred Tree
http://www.wikidata.org/entity/Q34899072	Point(121.402777777 24.181111111)	Bilu Sacred Tree
http://www.wikidata.org/entity/Q60577358	Point(138.989055555 34.75425)	Giant Camphor Tree at Sugihokowake no Mikoto Shrine
http://www.wikidata.org/entity/Q65278116	Point(138.609055555 35.496333333)	Shoji-no-Osugi
http://www.wikidata.org/entity/Q123486959	Point(130.411222222 33.593055555)	Kushida no Ginan
http://www.wikidata.org/entity/Q124061996	Point(130.410638888 33.592833333)	Meoto-ginan
