latitude,longitude,label,link
57.3097388,-4.4389133,Nessie, Loch Ness
44.53,-73.33,Champ, Lake Champlain
56.826,31.942,Brosno Dragon,https://en.wikipedia.org/wiki/Brosno_dragon
49.488056,-55.810833,Cressie,https://en.wikipedia.org/wiki/Cressie
5.54,-72.92,Monster of Lake Tota,https://en.wikipedia.org/wiki/Monster_of_Lake_Tota
47.901667,-114.104167,Flathead Lake Monster,https://en.wikipedia.org/wiki/Flathead_Lake_Monster
53.566667,-108.65,Turtle Lake Monster,https://en.wikipedia.org/wiki/Turtle_Lake_Monster
41.166667,-112.533333,North Shore Monster,https://en.wikipedia.org/wiki/North_Shore_Monster
45.169722,-66.794444,Lake Utopia Lake Monster
59.45,8.733333,Selma,https://en.wikipedia.org/wiki/Selma_(lake_monster)
63.216667,14.316667,Storsjöodjuret,https://en.wikipedia.org/wiki/Storsj%C3%B6odjuret
61.8,16.283333,Gryttie
35.483333,-80.933333,Normie
47.488056,-69.268056,Ponik
