latitude,longitude,label,link
99,0.1,North Pole,https://maskofreason.wordpress.com/the-book-of-mysteries/mysteria-obscura/the-vile-vortices/
-90,0.1,South Pole,https://maskofreason.wordpress.com/the-book-of-mysteries/mysteria-obscura/the-vile-vortices/
23.5,-70,Bermuda Triangle,https://maskofreason.wordpress.com/the-book-of-mysteries/mysteria-obscura/the-vile-vortices/
23.5,140,Devil's Sea (Dragon's Triangle),https://maskofreason.wordpress.com/the-book-of-mysteries/mysteria-obscura/the-vile-vortices/
23.5,-155,Hamakulia,https://maskofreason.wordpress.com/the-book-of-mysteries/mysteria-obscura/the-vile-vortices/
23.5,4,Algerian Megaliths,https://maskofreason.wordpress.com/the-book-of-mysteries/mysteria-obscura/the-vile-vortices/
-23.5,-50,South Atlantic Anomaly,https://maskofreason.wordpress.com/the-book-of-mysteries/mysteria-obscura/the-vile-vortices/
-23.5,30,Great Zimbabwe Ruins,https://maskofreason.wordpress.com/the-book-of-mysteries/mysteria-obscura/the-vile-vortices/
-23.5,90,Wharton Basin,https://maskofreason.wordpress.com/the-book-of-mysteries/mysteria-obscura/the-vile-vortices/
-23.5,-109,Easter Island Megaliths,https://maskofreason.wordpress.com/the-book-of-mysteries/mysteria-obscura/the-vile-vortices/
-23.5,168,New Hebrides Trench,https://maskofreason.wordpress.com/the-book-of-mysteries/mysteria-obscura/the-vile-vortices/
23.5,68,Mohenjo-Daro,https://maskofreason.wordpress.com/the-book-of-mysteries/mysteria-obscura/the-vile-vortices/
