location	label
Point(5.71877 50.59213)	Nail Linden of Olne
Point(3.8748 50.53788)	Nail Oak
Point(3.8748 50.53788)	Nail Oak
Point(5.18751 50.12548)	Tilleul à clous
Point(5.94777 50.57618)	Clawé Fawe
Point(5.59418 50.79356)	Kwartjesboom
Point(5.75791 50.75653)	Horse chestnut tree
Point(121.149162 24.884887)	Yangmei Camphor Tree Bogong
Point(120.828344 24.526906)	Gongguan Couple Tree
Point(120.51888 23.872318)	Beidou Giant Banyan
Point(120.178325 23.069979)	Shih-erdian Shen Rong
Point(120.589296 23.689659)	Xinzhuang Bischofia javanica
Point(120.517488 23.917787)	Yongjing Ancient Tree
Point(5.767055555 50.636333333)	Tilleul du Coftice
Point(120.712354 23.831496)	Mingjian Bischofia javanica
Point(120.735363 24.115563)	Chelongpu Camphor Tree Gong
Point(120.667342 23.92975)	Nangang Camphor Tree Gong
Point(5.769194444 50.782833333)	Huuskesboom
Point(5.586388888 50.654722222)	Nail tree of Liège
Point(1.729765107 49.876606144)	Clootie tree of Senarpont
Point(-2.467646443 54.160457041)	Ingleton copper coin tree
Point(-7.2656469 52.6086651)	St. Patrick's Bush
