Region,Location,Story Name,Two-Sentence Summary
Arkhangelsk Oblast,"Solovetsky Islands","Solovetsky Prison Ghosts","Used as a monastery and later a Gulag camp, the islands are rumored to hold restless spirits of political prisoners. Visitors sometimes feel sudden chills and hear distant chanting in the abandoned cells."
Arkhangelsk Oblast,"Kholmogory","Lomonosov’s Snow Path","Locals say the great scientist Mikhail Lomonosov once walked a miraculous path of solid ice here to reach Moscow. In winter, some see odd footprints on the frozen river, vanishing into thin air."
Arkhangelsk Oblast,"Pinega Caves","Cave Dwellers’ Whispers","Legend speaks of cave-dwelling spirits that guard hidden treasures. Explorers report echoes of murmured voices in passages far from any human settlement."
Arkhangelsk Oblast,"Mezen","River Mermaids of Mezen","A northern twist on rusalka tales, describing mermaid-like beings who appear during the midnight sun. Fishermen claim to spot them combing their hair on rock outcroppings."
Arkhangelsk Oblast,"Onega Coast","Pomor Ghost Ships","Coastal villagers talk of phantom vessels lost at sea centuries ago, occasionally seen sailing in heavy fog. The ships vanish when approached, leaving only faint bell chimes."
Arkhangelsk Oblast,"Ustyansky District","Baba Yaga of the Taiga","A local variant placing the witch’s hut deep within trackless forest. Hunters speak of stumbling upon strange footprints and hearing cackling laughter at dawn."
Arkhangelsk Oblast,"Kenozero National Park","Kenozero Lake Guardian","A protective water spirit rumored to watch over fish stocks. Canoeists sometimes sense invisible eyes watching from beneath the lake surface."
Arkhangelsk Oblast,"Kargopol","Bell of Kargopol’s Wrath","A 17th-century bell that supposedly tolls by itself when danger nears. Residents insist they heard it ring before major floods or fires in the past."
Arkhangelsk Oblast,"Shenkursk","Ghostly Post Road Horses","Old troikas that once carried mail are said to appear on moonlit nights along now-abandoned routes. Some claim hoofbeats and rattling harnesses echo through the dark, though no horses are seen."
Arkhangelsk Oblast,"Leshukonskoye","The Frost Maiden’s Footprints","A spirit of winter rumored to drift through local villages, leaving delicate ice patterns on windows. Parents warn children not to follow the footprints, or they may freeze in the snow."

Astrakhan Oblast,"Astrakhan City","Caspian Water Maiden","A local legend of a half-fish, half-human creature in the Volga Delta. Fishermen claim she lures the unwary into whirlpools with soft singing on misty mornings."
Astrakhan Oblast,"Lotus Fields","Lotus Lake Spirit","A guardian deity protecting the vast lotus blooms in the delta. Tourists who disrespect the flowers sometimes lose their way, claiming the reeds shift like a maze."
Astrakhan Oblast,"Akhtuba River","Glow of the Golden Sturgeon","A giant, elusive fish said to glow at night, leading to rumored sturgeon sightings bigger than boats. Anglers occasionally find deep claw-like marks on their hulls."
Astrakhan Oblast,"Bogdo Mountain","Bogdo’s Echo","Known for salt domes and red mountain slopes, believed to hide an underground kingdom. Hikers say their shouts sometimes return in distorted, ghostly voices."
Astrakhan Oblast,"Nizhny Baskunchak","Lake Baskunchak Healing Salt","Legends speak of a salt spirit granting cures to the deserving. Bathers mention seeing ephemeral figures drifting across the salt flats at dawn."
Astrakhan Oblast,"Samosdelka Village","Site of Ancient Itil","Ruins of the Khazar capital rumored to hold buried treasures. Some explorers claim spectral guardians roam the excavation site at twilight."
Astrakhan Oblast,"Selitrennoye","Sarai-Batu Ghost Riders","Once the capital of the Golden Horde, where phantom horsemen allegedly appear on the steppes. Locals report hearing galloping hooves and faint war cries on windy nights."
Astrakhan Oblast,"Volga Delta Islands","Marsh Will-o’-the-Wisps","Flickering lights that lure travelers into boggy traps. Folklore ties them to cursed souls of those who drowned or broke religious taboos."
Astrakhan Oblast,"Kamyzyaksky District","The Weeping Reed Maid","A spirit that mourns lost children in the reeds. At certain hours, passersby hear weeping that seems to move farther away if pursued."
Astrakhan Oblast,"Akhtubinsk","Desert Mirage Djinn","In the semi-arid surroundings near Akhtubinsk, illusions of oases appear at midday. Some blame a djinn who tests travelers’ resolve, granting water only if they remain virtuous."

Belgorod Oblast,"Belgorod City","The White City Phantom","‘Belgorod’ means ‘white city’; a ghostly figure in white robes is said to roam the old fortress walls. Night sentries report glimpses of a pale silhouette on moonlit ramparts."
Belgorod Oblast,"Prokhorovka Field","Tank Crew Apparitions","Site of a famous WWII tank battle, rumored to have spectral T-34 tanks patrolling at dawn. Farmers sometimes hear clanking metal echoing across empty fields."
Belgorod Oblast,"Stary Oskol","Well of the Seven Sisters","A spring where seven nuns supposedly prayed for refuge, vanishing into the earth. Locals claim the water is blessed, but if one is impure, they hear whispers scolding them."
Belgorod Oblast,"Graivoron","Southern Nightingale Hills","Regions of dense forest said to be patrolled by shape-shifting nightingales. Some villagers believe these birds are actually forest spirits who lead wanderers astray with enchanting songs."
