latitude,longitude,label,link
-12.0464,-77.0428,Saint Rose of Lima,https://en.wikipedia.org/wiki/Rose_of_Lima,"In Lima, Saint Rose’s life of humility and charity is celebrated as a beacon of hope. Her miracles and compassionate acts have woven her legacy into the cultural fabric of Peru."
-12.046927606985385, -77.0298168694666,Saint Turibius of Mongrovejo,https://en.wikipedia.org/wiki/Turibius_of_Mongrovejo,"In La Paz, legends recount Saint Turibius’s determined mission to spread the Gospel among indigenous peoples. His efforts are remembered as a unifying force in the religious history of Bolivia."
54.327255302938035, -5.721871926912956,Saint Patrick,https://en.wikipedia.org/wiki/Saint_Patrick,"In Harare, the story of Saint Patrick’s healing powers has been passed down through generations. His legendary acts have fortified local faith and brought communities together."
53.759949024484065, -9.65999344775583,Saint Patrick,https://en.wikipedia.org/wiki/Saint_Patrick,"Legend holds that Saint Patrick spent time in isolation on Croagh Patrick, engaging in deep prayer and fasting. This period of reflection solidified his mission to spread Christianity across Ireland."
48.8488, 2.3218,Saint Vincent de Paul,https://en.wikipedia.org/wiki/Saint_Vincent_de_Paul,Vincent de Paul was a French Catholic priest renowned for his compassionate service to the poor, whose life included enduring hardships such as captivity by Barbary pirates and later founding influential charitable organizations and religious communities. His legacy lives on through institutions like the Vincentians, the Daughters of Charity, and the Society of Saint Vincent de Paul, which continue to promote charity and social reform worldwide.

-2.1709,-79.9224,Saint Mariana de Jesús de Paredes,https://en.wikipedia.org/wiki/Mariana_de_Jes%C3%BAs_de_Paredes,"Quito’s steep streets echo with tales of Saint Mariana de Jesús de Paredes and her unwavering faith. Her gentle miracles and pious life continue to be celebrated in Ecuador."
-22.9080,-43.1960,Saint Sebastian,https://en.wikipedia.org/wiki/Saint_Sebastian,"In Rio de Janeiro, Saint Sebastian is venerated for his reputed healing miracles and steadfast protection during times of plague. His enduring legacy as a patron of the afflicted continues to inspire hope and resilience in local communities."
-22.9576,18.4904,Saint Joseph,https://en.wikipedia.org/wiki/Saint_Joseph,"In Windhoek, small congregations recall the miraculous deeds of Saint Joseph. His timeless intercession unites the local faithful and provides strength during hardships."
-25.9692,32.5732,Saint Anthony of Padua,https://en.wikipedia.org/wiki/Saint_Anthony_of_Padua,"In Maputo, residents recount the compassionate deeds of Saint Anthony of Padua during times of need. His revered miracles serve as a cornerstone of local devotion."
