State,Location,Story Name,Two-Sentence Summary
Alabama,"Carrollton","The Face in the Courthouse Window","Said to be the face of Henry Wells, wrongly accused and lynched; a lightning flash supposedly etched his agonized expression in the window. Locals claim the face is still visible today, staring out at passersby."
Alabama,"Huntsville","Dead Children's Playground","Situated next to Maple Hill Cemetery, this playground is rumored to host the spirits of children buried nearby. Visitors report swings moving by themselves and eerie giggles at night."
Alabama,"Abbeville","Huggin' Molly","A phantom woman in black who grabs unsuspecting night walkers, screaming in their ears. The tale warns children to hurry home after dark to avoid her chilling embrace."
Alabama,"Birmingham","Sloss Furnaces Hauntings","Former ironworkers speak of a cruel foreman named 'Slag' who died on-site. Apparitions, shadow figures, and disembodied voices are reported during tours."
Alabama,"Camden","Gaines Ridge Dinner Club Ghost","Diners have heard mysterious screams and seen apparitions in this 1820s home-turned-restaurant. Some believe a restless spirit wanders, searching for a lost loved one."
Alabama,"Lake Martin","Ghost Town of Kowaliga","An old community lies submerged beneath the lake. Fishermen occasionally hear phantom voices and see strange lights in the water on quiet nights."
Alabama,"Tuscaloosa","Drish House Spectral Light","A glowing light appears in the tower, linked to funeral pyres of its former owner. Neighbors long reported flickering flames when the building stood empty."
Alabama,"University of Montevallo","The Ghost of King House","Students claim to hear footsteps and see doors open by themselves. Legend ties the activity to Dr. King, a former resident who died in the house."
Alabama,"Hwy 5 near Marion","Cahaba River Lady in White","A ghostly figure in a white gown wanders near the riverbanks at night. Drivers say she vanishes as they approach, leaving behind only moonlit mist."
Alabama,"Mobile","Kate Shepard House Inn Hauntings","Built in 1897, this historic B&B is rumored to host the spirit of its namesake. Guests report soft footsteps and a faint scent of perfume in empty halls."

Alaska,"Juneau","Alaskan Hotel Ghost","Patrons speak of a woman roaming the historic hotel's corridors, waiting for a husband lost during the gold rush. Flickering lights and unexplained footsteps have been reported in her old room."
Alaska,"Mendenhall Glacier","Glacier Wraith","Some explorers claim a pale figure appears near the ice caves. Local lore suggests it's the wandering soul of a hiker who vanished decades ago."
Alaska,"Kodiak Island","Otter Man (Urayuli)","A shapeshifting entity in Native tales, depicted as an oversized otter or ape-like being. Fishermen and hunters whisper of eerie sightings along remote shorelines."
Alaska,"Eklutna Village","Spirit Houses","These colorful mini-houses built atop graves serve as homes for the dead in the afterlife. They reflect a blend of Russian Orthodox and Dena'ina Athabaskan traditions."
Alaska,"Portlock (Port Chatham)","Nantiinaq","An elusive, Bigfoot-like creature allegedly terrorized this once-thriving cannery town. Multiple disappearances led residents to abandon the area entirely."
Alaska,"Fort Abercrombie, Kodiak","Ghost Gunner","Disembodied gunshots echo through these WWII fortifications. Some claim the residual spirit of a soldier practices drills at night."
Alaska,"Chilkoot Trail","Phantom Lights of the Gold Rush","Mysterious lanterns and distant cries are reported where many prospectors died seeking fortune. Hikers say these lights vanish if approached."
Alaska,"Seward","Van Gilder Hotel Haunting","A spirit named Fannie allegedly walks the halls in early 1900s attire. Doors slam, and footsteps resound in vacant rooms."
Alaska,"Nome","Alien Abduction Lore","A high number of unexplained disappearances gave rise to rumors of extraterrestrial activity. While officials blame harsh conditions, locals still whisper of strange lights in the sky."
Alaska,"Barrow (Utqiaġvik)","Sunless Spirits","During the polar night, some claim to see shadowy figures wandering the tundra. These apparitions are said to be drawn out by endless darkness."

Arizona,"Jerome","Ghost City of Jerome","Once dubbed the 'Wickedest Town in the West,' it’s now a hotspot for paranormal tourism. Visitors encounter apparitions of old miners and madams in abandoned buildings."
Arizona,"Flagstaff","Hotel Monte Vista","A phantom bellboy knocks on doors, and room 305 has a rocking chair that moves on its own. Staff often hear voices in empty hallways."
Arizona,"Phoenix","Orpheum Theatre Ghost","A little girl named 'Maddie' is said to appear in the balcony wearing 1920s-era clothing. Patrons have heard her giggles and seen seats flip down without explanation."
Arizona,"Tombstone","Bird Cage Theatre Specters","Known for violent history and wild saloon days, this building is rife with reported ghost sightings. Gunshots and rowdy laughter echo after closing hours."
Arizona,"Sedona","Vortex Spiritual Legends","Believed to be energy hotspots that enhance healing and psychic power. Visitors often describe tingling sensations or unusual flashes of light among the red rocks."
Arizona,"Casa Grande Ruins","Hohokam Spirits","The ancient Sonoran Desert people left these massive structures. Nighttime explorers sometimes hear faint chanting or see flickers of light near the ruins."
Arizona,"Superstition Mountains","Lost Dutchman’s Gold Mine","A legendary, hidden cache of gold that has drawn treasure hunters for years. Many blame curses for the unexplained disappearances of would-be prospectors."
Arizona,"Scottsdale","Pioneer Living History Museum","Reconstructed Old West buildings teem with spectral sightings. Staff report disembodied voices and doors opening on their own."
Arizona,"Bisbee","Copper Queen Hotel Hauntings","Multiple ghosts are said to roam the halls, including a spirit in a Victorian dress. Guests often smell perfume or tobacco in empty rooms."
Arizona,"Prescott","Hassayampa Inn’s Bride","A woman named Faith allegedly haunts the inn after her groom disappeared on their wedding night. Weeping and shadowy glimpses of a white gown have been reported."

Arkansas,"Eureka Springs","Crescent Hotel & Spa","Called 'America’s Most Haunted Hotel' with ghosts of long-deceased patients and staff from when it was briefly a hospital. Visitors report apparitions, orbs, and strange knocks at all hours."
Arkansas,"Hot Springs","Arlington Hotel Ghosts","Famous guests like Al Capone once stayed here; staff claim they still sense his presence. Phantom footsteps and vintage music sometimes echo in the empty hallways."
Arkansas,"Ozark Mountains","Dover Lights","Mysterious orbs seen in the valley near Dover. Some say they’re spirits of Native Americans or Spanish conquistadors who vanished long ago."
Arkansas,"Gurdon","Gurdon Light","A glowing orb seen along old railroad tracks, rumored to be a decapitated worker’s lantern. Scientists cite natural gas or piezoelectric effects, but legends persist."
Arkansas,"Monticello","Allen House Ghost","A woman who took her life in 1948 allegedly remains within these walls. Residents and guests report voices, footsteps, and the flicker of a ghostly lamp."
Arkansas,"Little Rock","Old Arsenal Building","Civil War soldiers supposedly roam the grounds. Staff hear moaning and see gray-uniformed figures in fleeting glimpses."
Arkansas,"Harrison","Hotel Seville Spirits","Mob-related hauntings from the Prohibition era are rumored to linger. Guests occasionally spot a suited apparition who disappears around corners."
Arkansas,"Jacksonville","Jacksonville Cemetery’s Shadow Man","A tall, dark figure is said to dart between headstones. Some believe it’s a former caretaker who died under mysterious circumstances."
Arkansas,"Fouke","The Fouke Monster","An ape-like creature popularized by 'The Legend of Boggy Creek.' Hunters claim to have seen large footprints and heard chilling howls near the Sulphur River."
